ExpID: 1763972727
Start Location: 1084
Number of Location: 319
StartTime: 2025-11-24 03:25:27.721370

Item: 1084, Location ID: WyH3tNXNBlZc_V0cziICVw_37.766358_-122.416532, lat:37.766358, long:-122.416532, alt106, time(sec): 503.03406286239624
Item: 1085, Location ID: dn1il4-489HuY3EmWIlhlQ_37.755761_-122.408484, lat:37.755761, long:-122.408484, alt113, time(sec): 459.86232829093933
Item: 1086, Location ID: rUXvYyO9Lq4VfzhoevTQZw_37.767158_-122.446986, lat:37.767158, long:-122.446986, alt211, time(sec): 552.8225107192993
Item: 1087, Location ID: P27sItYwoI82i-uyqXEiRQ_37.740910_-122.396036, lat:37.74091, long:-122.396036, alt102, time(sec): 412.74561071395874
Item: 1088, Location ID: mztBrUpyeMuaT5mRHI6YHQ_37.770565_-122.427745, lat:37.770565, long:-122.427745, alt149, time(sec): 525.7596478462219
Item: 1089, Location ID: o76mFsM_fQTGldG-AC0O_g_37.737401_-122.391972, lat:37.737401, long:-122.391972, alt110, time(sec): 384.7466633319855
Item: 1090, Location ID: ya03wsiI2hNpFoYsSdC-qQ_37.783275_-122.425505, lat:37.783275, long:-122.425505, alt161, time(sec): 595.7812924385071
Item: 1091, Location ID: hAHP08LJOoJqhWzszqAlCw_37.746495_-122.449703, lat:37.746495, long:-122.449703, alt294, time(sec): 230.71360421180725
Item: 1092, Location ID: CvITroGXAaH78twfTpgk0g_37.753949_-122.404469, lat:37.753949, long:-122.404469, alt123, time(sec): 93.69446587562561
Item: 1093, Location ID: P0zmq9fVDEMzrsatTBCUUg_37.781338_-122.433271, lat:37.781338, long:-122.433271, alt142, time(sec): 129.67290568351746
Item: 1094, Location ID: 54mXO7T1MqDvQaaWGkDr9g_37.743830_-122.424917, lat:37.74383, long:-122.424917, alt138, time(sec): 155.67621397972107
Item: 1095, Location ID: yeeGWTwNtohBTWPaVWGshw_37.766148_-122.406577, lat:37.766148, long:-122.406577, alt110, time(sec): 211.66542768478394
Item: 1096, Location ID: St66T4QI0-BiTqWFX5iZ6w_37.773916_-122.446215, lat:37.773916, long:-122.446215, alt176, time(sec): 265.6667227745056
Item: 1097, Location ID: jeeJdg1iHIg3XL1yJq_9Kg_37.758850_-122.421373, lat:37.75885, long:-122.421373, alt120, time(sec): 292.68021845817566
Item: 1098, Location ID: ENez9dbzKD67DXez0YWz-g_37.770672_-122.449404, lat:37.770672, long:-122.449404, alt181, time(sec): 364.68427443504333
Item: 1099, Location ID: jafE8IpyXPeV_T-9efRkhw_37.787664_-122.389630, lat:37.787664, long:-122.38963, alt116, time(sec): 530.705329656601
Item: 1100, Location ID: uj_5eSNdC6IuEFr5OgmlVg_37.772247_-122.444664, lat:37.772247, long:-122.444664, alt184, time(sec): 472.69971990585327
Item: 1101, Location ID: JC02WAbZxlpcGIL1yf7GRQ_37.772354_-122.411561, lat:37.772354, long:-122.411561, alt111, time(sec): 543.7416894435883
Item: 1102, Location ID: k9Of4YxCPyn9zwgc_Rsp-w_37.782135_-122.427454, lat:37.782135, long:-122.427454, alt141, time(sec): 492.71310091018677
Item: 1103, Location ID: woQg3Z3E2GK5eWUoLB6UhQ_37.786449_-122.407881, lat:37.786449, long:-122.407881, alt135, time(sec): 103.68661594390869
Item: 1104, Location ID: 3JUwO6BEvnvjAFGqwNqtQg_37.749580_-122.419328, lat:37.74958, long:-122.419328, alt126, time(sec): 79.70138812065125
Item: 1105, Location ID: 1aYSXdqAVa1nMB_Jzpsx2w_37.756155_-122.424953, lat:37.756155, long:-122.424953, alt156, time(sec): 76.71976971626282
Item: 1106, Location ID: 5_qJek3l41Y7unx3rulCEQ_37.767876_-122.427169, lat:37.767876, long:-122.427169, alt136, time(sec): 82.70462036132812
Item: 1107, Location ID: AG65U4L6zSC4Ii66tD7LQw_37.756060_-122.421994, lat:37.75606, long:-122.421994, alt129, time(sec): 75.71317481994629
Item: 1108, Location ID: lYZGHHyQZhqAtN-VjJz-BA_37.764490_-122.407745, lat:37.76449, long:-122.407745, alt123, time(sec): 78.71598672866821
Item: 1109, Location ID: n4BDb74AItbFAmgWAe1WSA_37.742750_-122.429204, lat:37.74275, long:-122.429204, alt147, time(sec): 72.70037388801575
Item: 1110, Location ID: 2-N2x993i5cMr4A6XwTsCw_37.789672_-122.412060, lat:37.789672, long:-122.41206, alt164, time(sec): 83.64513206481934
Item: 1111, Location ID: Y2qBdShUxZ-f1WZN_NwhOA_37.744789_-122.435339, lat:37.744789, long:-122.435339, alt228, time(sec): 87.70959305763245
Item: 1112, Location ID: -nyiKSxhAnlkfHEZVDRmUg_37.766821_-122.446339, lat:37.766821, long:-122.446339, alt217, time(sec): 115.71012139320374
Item: 1113, Location ID: mbRNlsaSi2gzw94PRhyCeg_37.789630_-122.392116, lat:37.78963, long:-122.392116, alt113, time(sec): 240.7239773273468
Item: 1114, Location ID: BZ0oPam1Qek7hK0dmMH4MQ_37.752080_-122.440766, lat:37.75208, long:-122.440766, alt208, time(sec): 96.67501211166382
