ExpID: 1761197920
Start Location: 815
Number of Location: 300
StartTime: 2025-10-23 01:38:41.026794

Item: 815, Location ID: nyPGbNqSG47bHOE1yTzdSA_37.770023_-122.437791, lat:37.770023, long:-122.437791, alt187, time(sec): 90.28989267349243
Item: 816, Location ID: QOo11eR4zD5WF-1uoJKLZA_37.743058_-122.417590, lat:37.743058, long:-122.41759, alt180, time(sec): 114.48550295829773
Item: 817, Location ID: VSCObInTp09aY3twXa0oYA_37.756063_-122.441833, lat:37.756063, long:-122.441833, alt243, time(sec): 154.36605954170227
Item: 818, Location ID: oyUEo9oe_3gqcx5QubidSg_37.769981_-122.425987, lat:37.769981, long:-122.425987, alt137, time(sec): 216.29798555374146
Item: 819, Location ID: mk1YikhaZ0neBbXuu6Uf4Q_37.737147_-122.418381, lat:37.737147, long:-122.418381, alt176, time(sec): 268.23904967308044
Item: 820, Location ID: F4ZlTjd5HEJCFXG0P-9fsw_37.766360_-122.397896, lat:37.76636, long:-122.397896, alt105, time(sec): 300.27455282211304
Item: 821, Location ID: kM9Gvz7pfU3HzkkHAJkchQ_37.785769_-122.447286, lat:37.785769, long:-122.447286, alt192, time(sec): 388.33685326576233
Item: 822, Location ID: scwQGOnI9X8CNuRlZmn0mg_37.751001_-122.426203, lat:37.751001, long:-122.426203, alt157, time(sec): 423.36128282546997
Item: 823, Location ID: Ao5H5_R5yX6NEYfWWPQ_xg_37.750851_-122.406213, lat:37.750851, long:-122.406213, alt111, time(sec): 401.429771900177
Item: 824, Location ID: LMM2DwA9NacmONQQWTaXXw_37.741269_-122.408805, lat:37.741269, long:-122.408805, alt150, time(sec): 466.3152310848236
Item: 825, Location ID: X2nTW-Myl0lTOdll-jlEMw_37.785183_-122.446526, lat:37.785183, long:-122.446526, alt180, time(sec): 596.3140032291412
Item: 826, Location ID: e5c2fwWgsbwFaTxjYx615Q_37.738751_-122.408984, lat:37.738751, long:-122.408984, alt132, time(sec): 98.22076439857483
Item: 827, Location ID: 16W0IlsTdQ2__2xtdz6r_A_37.757547_-122.437964, lat:37.757547, long:-122.437964, alt174, time(sec): 51.276331186294556
Item: 828, Location ID: SzZBUYgDjC4zH3VdscbNFg_37.758807_-122.416635, lat:37.758807, long:-122.416635, alt116, time(sec): 51.193206787109375
Item: 829, Location ID: c-F6LTKhSVBtbczZ6KWPpg_37.768037_-122.407728, lat:37.768037, long:-122.407728, alt113, time(sec): 51.365967988967896
Item: 830, Location ID: t0mijSEv4JStxgjgrddqCw_37.765814_-122.418689, lat:37.765814, long:-122.418689, alt108, time(sec): 51.257116079330444
Item: 831, Location ID: mM-P1kQ53rfdMZgGDHYVWg_37.789926_-122.398620, lat:37.789926, long:-122.39862, alt104, time(sec): 51.22879600524902
Item: 832, Location ID: sk-6B8gB7a-9DCmCPovI_g_37.780134_-122.419437, lat:37.780134, long:-122.419437, alt133, time(sec): 51.39267611503601
Item: 833, Location ID: okcSJIC7GZmc-jz8jwPb6w_37.748936_-122.448094, lat:37.748936, long:-122.448094, alt324, time(sec): 51.22977352142334
Item: 834, Location ID: W1u271mKK2Aa_VqZnlS2Pw_37.761620_-122.416081, lat:37.76162, long:-122.416081, alt109, time(sec): 51.211026430130005
Item: 835, Location ID: 2fshnNWTlvrOfWJVderZSg_37.740138_-122.433590, lat:37.740138, long:-122.43359, alt248, time(sec): 51.280240297317505
Item: 836, Location ID: 8Gal_8AeTbXzC1o03AKRfA_37.771348_-122.411611, lat:37.771348, long:-122.411611, alt111, time(sec): 51.41639494895935
Item: 837, Location ID: 3VHJhugiCsUuHvKBOEqQSA_37.766854_-122.391059, lat:37.766854, long:-122.391059, alt100, time(sec): 51.22453427314758
Item: 838, Location ID: Au_Ksuvb8pppdXt28JzhnQ_37.761724_-122.421750, lat:37.761724, long:-122.42175, alt112, time(sec): 51.30610942840576
Item: 839, Location ID: -s_8mlA9xmgfSZGSVQgwCA_37.755258_-122.401717, lat:37.755258, long:-122.401717, alt145, time(sec): 51.305060148239136
Item: 840, Location ID: EFqk-WdLItshLOXN_69VIw_37.769731_-122.436809, lat:37.769731, long:-122.436809, alt183, time(sec): 51.30047297477722
Item: 841, Location ID: kgjRn1FwaKkRPN0nBz0isw_37.770708_-122.441989, lat:37.770708, long:-122.441989, alt189, time(sec): 51.27819848060608
Item: 842, Location ID: MTrlr3F-sUKkpShaaSKyiA_37.763581_-122.392439, lat:37.763581, long:-122.392439, alt119, time(sec): 51.41043210029602
Item: 843, Location ID: oze71MfwdD_SLImq9DAezA_37.755187_-122.441650, lat:37.755187, long:-122.44165, alt248, time(sec): 51.268736839294434
Item: 844, Location ID: I2FDYS1asCynicmFE0f6uQ_37.757652_-122.397079, lat:37.757652, long:-122.397079, alt160, time(sec): 51.322580099105835
Item: 845, Location ID: dC0_EhdhQtJB5htyHIwtpw_37.784129_-122.422310, lat:37.784129, long:-122.42231, alt158, time(sec): 51.2665810585022
Item: 846, Location ID: P9JvqcYfRogAfKIhX5_Ijg_37.781701_-122.390313, lat:37.781701, long:-122.390313, alt117, time(sec): 51.28457832336426
Item: 847, Location ID: 2g4ZHS0u3fEMs3ZlId331w_37.771176_-122.415643, lat:37.771176, long:-122.415643, alt110, time(sec): 51.289186239242554
Item: 848, Location ID: HvaGZEhr7orDHoYoun8VDg_37.769103_-122.414544, lat:37.769103, long:-122.414544, alt107, time(sec): 51.23525142669678
Item: 849, Location ID: Md1k-452Zkm26_zGui71CA_37.748411_-122.415975, lat:37.748411, long:-122.415975, alt116, time(sec): 51.295350790023804
Item: 850, Location ID: ouNni6Hh7h7Oq-QytiPOVQ_37.770092_-122.405457, lat:37.770092, long:-122.405457, alt106, time(sec): 51.368722438812256
Item: 851, Location ID: RbJVan4CJ3h7fh4yllsX3w_37.763976_-122.404416, lat:37.763976, long:-122.404416, alt126, time(sec): 51.339404582977295
Item: 852, Location ID: bzCS8K_93PpfHhHnlggfqQ_37.761745_-122.442831, lat:37.761745, long:-122.442831, alt200, time(sec): 51.4068877696991
Item: 853, Location ID: 8GT8qP3OjD_1d2CF4-MnGw_37.753714_-122.426519, lat:37.753714, long:-122.426519, alt147, time(sec): 51.21035075187683
Item: 854, Location ID: NvJRlZDNitaoxX7Qhzwwfw_37.744044_-122.433865, lat:37.744044, long:-122.433865, alt203, time(sec): 51.27329778671265
Item: 855, Location ID: 3rOyHqIfo1ca54QAJWPXfw_37.770556_-122.391861, lat:37.770556, long:-122.391861, alt101, time(sec): 51.37985372543335
Item: 856, Location ID: MGWv5afu6yruueZK8fP25Q_37.756725_-122.402793, lat:37.756725, long:-122.402793, alt143, time(sec): 51.20761775970459
Item: 857, Location ID: Q-lEJgEDdiAwyurR-VhEUg_37.784521_-122.390025, lat:37.784521, long:-122.390025, alt111, time(sec): 51.29197645187378
Item: 858, Location ID: QRbYKolbCtbaJHbv3kZdWQ_37.754951_-122.438892, lat:37.754951, long:-122.438892, alt202, time(sec): 51.20764708518982
Item: 859, Location ID: eKx3sahkOAr7V2TbHe-CFw_37.737378_-122.430006, lat:37.737378, long:-122.430006, alt210, time(sec): 51.29376029968262
Item: 860, Location ID: O5KmvlZ9SJbYZNhCh-43Yw_37.758630_-122.390288, lat:37.75863, long:-122.390288, alt115, time(sec): 51.1742730140686
Item: 861, Location ID: vylJdz3WeOOeRzzuNihecw_37.756545_-122.430151, lat:37.756545, long:-122.430151, alt208, time(sec): 51.33000135421753
Item: 862, Location ID: FefKeND84cqWavJetMi3TA_37.766462_-122.437041, lat:37.766462, long:-122.437041, alt183, time(sec): 51.29874801635742
Item: 863, Location ID: g741JE2o95Zc6UdUmGmSuw_37.747321_-122.446779, lat:37.747321, long:-122.446779, alt280, time(sec): 51.38505148887634
Item: 864, Location ID: 7z-TnNdka4doH5s3Y6mG3A_37.741262_-122.405705, lat:37.741262, long:-122.405705, alt102, time(sec): 51.27716302871704
Item: 865, Location ID: RoTpzahrQMtqU8JyL_3MjQ_37.788025_-122.428643, lat:37.788025, long:-122.428643, alt168, time(sec): 51.29365873336792
Item: 866, Location ID: 3cU9AJrCP5-MyHvMqd9HOQ_37.759487_-122.423595, lat:37.759487, long:-122.423595, alt120, time(sec): 51.24494767189026
Item: 867, Location ID: FXLnwQbfcbMgU4ob6ptsKg_37.762818_-122.417307, lat:37.762818, long:-122.417307, alt110, time(sec): 51.19366669654846
