ExpID: 1764239384
Start Location: 1302
Number of Location: 300
StartTime: 2025-11-27 05:29:44.242321

Item: 1302, Location ID: yzSxSZfIrXOplfGF7dOPbQ_37.758617_-122.419719, lat:37.758617, long:-122.419719, alt117, time(sec): 76.57309484481812
Item: 1303, Location ID: RcvMPCZLNQD4qt2I0a97Uw_37.757013_-122.441751, lat:37.757013, long:-122.441751, alt220, time(sec): 93.3839201927185
Item: 1304, Location ID: toNR_Z86Jq_zQRmmSDfr1g_37.755264_-122.449132, lat:37.755264, long:-122.449132, alt330, time(sec): 164.46626710891724
Item: 1305, Location ID: 0h3hv_5YNpIEDEcsjWPuFw_37.767264_-122.402819, lat:37.767264, long:-122.402819, alt106, time(sec): 185.45215797424316
Item: 1306, Location ID: sPFmHlyBptlLjURfICARYw_37.778282_-122.449888, lat:37.778282, long:-122.449888, alt203, time(sec): 269.4578900337219
Item: 1307, Location ID: Y6LzA8LQ9pQk3xah24yf-g_37.737131_-122.390940, lat:37.737131, long:-122.39094, alt112, time(sec): 241.31821751594543
Item: 1308, Location ID: MbGPQRbnjMtnQb4TOWLdzg_37.770765_-122.407796, lat:37.770765, long:-122.407796, alt109, time(sec): 344.45108294487
Item: 1309, Location ID: d_0JJX3tEChd4n4MZiqO_g_37.768609_-122.400476, lat:37.768609, long:-122.400476, alt103, time(sec): 349.3377118110657
Item: 1310, Location ID: bgRmjsIpRbPiP7ZxlD1vSg_37.790317_-122.394834, lat:37.790317, long:-122.394834, alt121, time(sec): 815.4051139354706
Item: 1311, Location ID: 1tx8AMYXAgbUwD7qtMtrZg_37.772176_-122.402956, lat:37.772176, long:-122.402956, alt107, time(sec): 533.4013388156891
Item: 1312, Location ID: sVlSBpCrp3cpWug5uE1C0Q_37.764542_-122.443252, lat:37.764542, long:-122.443252, alt241, time(sec): 539.2099223136902
Item: 1313, Location ID: VxZJiU4v0sWKZlFXUxU-gA_37.745576_-122.411490, lat:37.745576, long:-122.41149, alt131, time(sec): 81.19078373908997
Item: 1314, Location ID: HCY3HSVNg4ra7gm71cfFjw_37.788170_-122.420826, lat:37.78817, long:-122.420826, alt155, time(sec): 88.19108033180237
Item: 1315, Location ID: iRk4OT9ob-h0I-Z7uwI3oA_37.750191_-122.425852, lat:37.750191, long:-122.425852, alt158, time(sec): 84.20651912689209
Item: 1316, Location ID: lkeFnKpoQn5aywLH7dQGbg_37.768700_-122.423744, lat:37.7687, long:-122.423744, alt125, time(sec): 84.2041506767273
Item: 1317, Location ID: ytNQjSwQE3PIv6bJNdseFQ_37.785803_-122.427878, lat:37.785803, long:-122.427878, alt156, time(sec): 83.20524001121521
Item: 1318, Location ID: 99mFSXfezRI7sJDPiKaGMg_37.766305_-122.394596, lat:37.766305, long:-122.394596, alt104, time(sec): 82.20162606239319
Item: 1319, Location ID: maZgw5NE4jAqSdEb9Ys2Vg_37.750124_-122.414981, lat:37.750124, long:-122.414981, alt119, time(sec): 76.21091318130493
Item: 1320, Location ID: _C3TKh_6AIBeB1Ref1Tn7Q_37.744644_-122.418439, lat:37.744644, long:-122.418439, alt154, time(sec): 76.19713830947876
Item: 1321, Location ID: ADMTbj43h0RPNwBcKuJz7w_37.750353_-122.446678, lat:37.750353, long:-122.446678, alt328, time(sec): 91.19796919822693
Item: 1322, Location ID: 2DVYJYICMWyvaAjrocSKyg_37.763265_-122.442135, lat:37.763265, long:-122.442135, alt228, time(sec): 86.17909026145935
Item: 1323, Location ID: txRzxDbieLXO2NPql9iWrg_37.757620_-122.412417, lat:37.75762, long:-122.412417, alt115, time(sec): 87.20277905464172
Item: 1324, Location ID: i97mXZKKCqKYu6AjkvlXEw_37.740649_-122.414542, lat:37.740649, long:-122.414542, alt186, time(sec): 101.19328594207764
