ExpID: 1760859078
Start Location: 518
Number of Location: 300
StartTime: 2025-10-19 03:31:18.865733

Item: 518, Location ID: JDVcuBAFUrHOHKa_Ov4siA_37.769646_-122.442476, lat:37.769646, long:-122.442476, alt201, time(sec): 92.68133616447449
Item: 519, Location ID: gbPZ5SSPHnYSeFhnX8hMHw_37.752054_-122.416829, lat:37.752054, long:-122.416829, alt121, time(sec): 113.5780098438263
Item: 520, Location ID: Q7svs8YLbr5kLj4gPQ7fzg_37.765425_-122.396824, lat:37.765425, long:-122.396824, alt107, time(sec): 157.56100058555603
Item: 521, Location ID: sEIReNECyZHBZnL0LYikcQ_37.785676_-122.443897, lat:37.785676, long:-122.443897, alt164, time(sec): 209.55937933921814
Item: 522, Location ID: O3LY-eq7GmR4ZfmYEYd6FQ_37.781182_-122.448876, lat:37.781182, long:-122.448876, alt184, time(sec): 236.57249188423157
Item: 523, Location ID: DW1MXSeH3Wjeg-h8gvdkGw_37.763706_-122.427903, lat:37.763706, long:-122.427903, alt128, time(sec): 284.57481479644775
Item: 524, Location ID: IudfpN2MPhgMkIDSosSJsg_37.754072_-122.411118, lat:37.754072, long:-122.411118, alt115, time(sec): 307.5682191848755
Item: 525, Location ID: 3K0flKNXGX7VhatWp7iznw_37.776875_-122.426820, lat:37.776875, long:-122.42682, alt124, time(sec): 370.5809528827667
Item: 526, Location ID: F511qh3lRio1jrNibbjBSQ_37.774709_-122.440257, lat:37.774709, long:-122.440257, alt166, time(sec): 434.5971760749817
Item: 527, Location ID: FVBPwnqdZCNfV3AjkhPKeQ_37.760351_-122.434999, lat:37.760351, long:-122.434999, alt138, time(sec): 405.5780019760132
Item: 528, Location ID: UJqjWsDJXX1WFoXMFWA88Q_37.758326_-122.397135, lat:37.758326, long:-122.397135, alt161, time(sec): 615.6254892349243
Item: 529, Location ID: xZfe7NZQ2e7E2_-p8OW3Ww_37.749100_-122.448691, lat:37.7491, long:-122.448691, alt332, time(sec): 421.5845777988434
Item: 530, Location ID: ZPauJTMGWBw-2JW6-XXY_Q_37.750266_-122.402808, lat:37.750266, long:-122.402808, alt108, time(sec): 85.58937931060791
Item: 531, Location ID: Zh0_zCVPqdcyIXknBZGLdA_37.747889_-122.448723, lat:37.747889, long:-122.448723, alt313, time(sec): 140.5761432647705
Item: 532, Location ID: ew-HfhGDlUq-6GldD82xgQ_37.764584_-122.428186, lat:37.764584, long:-122.428186, alt130, time(sec): 168.56652426719666
Item: 533, Location ID: aal3oCiVkVFIlaxWrSpr1Q_37.788402_-122.445284, lat:37.788402, long:-122.445284, alt180, time(sec): 269.5670437812805
Item: 534, Location ID: LG3Ti_-9qx14gUgT_iIicQ_37.765253_-122.406502, lat:37.765253, long:-122.406502, alt122, time(sec): 294.5699872970581
Item: 535, Location ID: srBVx7Uj2uPDTHMPOzK1kg_37.745350_-122.410536, lat:37.74535, long:-122.410536, alt128, time(sec): 317.5723166465759
Item: 536, Location ID: HGEAjeOx_e95NxcYkBIbGg_37.768527_-122.448359, lat:37.768527, long:-122.448359, alt188, time(sec): 413.57746386528015
Item: 537, Location ID: U0faanESpVeiS17TM_uTkg_37.761960_-122.422884, lat:37.76196, long:-122.422884, alt118, time(sec): 418.59789657592773
Item: 538, Location ID: eVyPqtdLadTLTJFHKyW7CA_37.752584_-122.418467, lat:37.752584, long:-122.418467, alt124, time(sec): 454.5942099094391
Item: 539, Location ID: IJ4mlZUwF91BYPJzMbeA4A_37.748307_-122.430258, lat:37.748307, long:-122.430258, alt156, time(sec): 485.6081635951996
Item: 540, Location ID: KDDzbodBQYeN_dXt3i3ZiQ_37.777519_-122.408902, lat:37.777519, long:-122.408902, alt112, time(sec): 522.612634897232
Item: 541, Location ID: iaVLE6AfCcVe-7PKA9sFeQ_37.778390_-122.392163, lat:37.77839, long:-122.392163, alt106, time(sec): 80.60777163505554
Item: 542, Location ID: FqhNvBYlpsLDJ3IqWaVk-Q_37.766485_-122.408323, lat:37.766485, long:-122.408323, alt119, time(sec): 75.58395290374756
Item: 543, Location ID: 3904EiX2M9LMN8YKRw6ALw_37.753010_-122.426476, lat:37.75301, long:-122.426476, alt148, time(sec): 75.58203959465027
Item: 544, Location ID: czHIr9S0q2l58DBfamyxNA_37.740164_-122.432109, lat:37.740164, long:-122.432109, alt229, time(sec): 80.58544898033142
