ExpID: 1764322801
Start Location: 1550
Number of Location: 300
StartTime: 2025-11-28 04:40:01.325260

Item: 1550, Location ID: kg6ZXp2TR4uyqjaTiSQw0A_37.789594_-122.403784, lat:37.789594, long:-122.403784, alt149, time(sec): 135.56363105773926
Item: 1551, Location ID: 4IDSracYVrHzDoon-e6r3g_37.760507_-122.444937, lat:37.760507, long:-122.444937, alt224, time(sec): 145.5299026966095
Item: 1552, Location ID: 9un6ThXk2uOeNV46pvQ01A_37.747299_-122.409240, lat:37.747299, long:-122.40924, alt114, time(sec): 172.47087860107422
Item: 1553, Location ID: jJe7WsOuGJwJTXW6HEvSlg_37.750455_-122.434909, lat:37.750455, long:-122.434909, alt169, time(sec): 194.38032221794128
Item: 1554, Location ID: Er0IT9HU0a-20JuUb2_04Q_37.783664_-122.395466, lat:37.783664, long:-122.395466, alt127, time(sec): 401.37593483924866
Item: 1555, Location ID: dV4RIPYrp5NTF2UkchMvhA_37.789419_-122.407249, lat:37.789419, long:-122.407249, alt140, time(sec): 576.4186460971832
Item: 1556, Location ID: aQhG3y5LBXHUSFGA_ag3SQ_37.783281_-122.421496, lat:37.783281, long:-122.421496, alt150, time(sec): 510.4065856933594
Item: 1557, Location ID: 4wEZhF-UlpggteMo4HZF3w_37.745683_-122.397373, lat:37.745683, long:-122.397373, alt101, time(sec): 412.3992931842804
Item: 1558, Location ID: Wr9fH96EPmrnBJ_-dW6eCg_37.752743_-122.402392, lat:37.752743, long:-122.402392, alt125, time(sec): 455.39616799354553
Item: 1559, Location ID: BZRM3vx9Icb3UlyWatnbBw_37.776388_-122.427085, lat:37.776388, long:-122.427085, alt128, time(sec): 530.4131565093994
Item: 1560, Location ID: KpOD-4XFMDVmKLRS5sSkFQ_37.763696_-122.427250, lat:37.763696, long:-122.42725, alt126, time(sec): 109.3879942893982
Item: 1561, Location ID: w4rVTDJYMbYofsR9-_LZ5A_37.752971_-122.398582, lat:37.752971, long:-122.398582, alt165, time(sec): 78.40343451499939
Item: 1562, Location ID: RbrudkmeVW2bM0saZ-jWMw_37.743228_-122.407064, lat:37.743228, long:-122.407064, alt134, time(sec): 74.41983103752136
Item: 1563, Location ID: _yMPQo9izKTjKrlDHymAtg_37.789746_-122.398340, lat:37.789746, long:-122.39834, alt104, time(sec): 99.37893295288086
Item: 1564, Location ID: ai-z5RKovnnms-vgKpao5A_37.773049_-122.434017, lat:37.773049, long:-122.434017, alt157, time(sec): 83.41608953475952
Item: 1565, Location ID: qgC5Eg49BbkGB_3lD3mCVg_37.772485_-122.412439, lat:37.772485, long:-122.412439, alt111, time(sec): 78.4053463935852
Item: 1566, Location ID: b7FR-yPU7_RlL36p-gt9yQ_37.767805_-122.419207, lat:37.767805, long:-122.419207, alt109, time(sec): 76.43454623222351
Item: 1567, Location ID: PypF7KTA7lFyur9xlGcD6A_37.786156_-122.417715, lat:37.786156, long:-122.417715, alt143, time(sec): 84.41865277290344
Item: 1568, Location ID: uioxl5xCJg3vC35ieFR0Uw_37.775066_-122.392386, lat:37.775066, long:-122.392386, alt111, time(sec): 85.42477178573608
Item: 1569, Location ID: 2h9u3VQ5UFl28AGT6f-WeA_37.785428_-122.409508, lat:37.785428, long:-122.409508, alt138, time(sec): 89.39384293556213
