ExpID: 1760777630
Start Location: 350
Number of Location: 300
StartTime: 2025-10-18 04:53:50.357124

Item: 350, Location ID: 76qAcAAfwqbeWOyu0ZU9cA_37.759466_-122.400140, lat:37.759466, long-122.40014, alt155, time(sec): 86.85788464546204
Item: 351, Location ID: GdZVhhXvWs-BLaYmv8G3PQ_37.778294_-122.391322, lat:37.778294, long-122.391322, alt110, time(sec): 109.5880856513977
Item: 352, Location ID: sJ7-rBTU59Ijb6vVdkMksQ_37.784747_-122.443735, lat:37.784747, long-122.443735, alt162, time(sec): 144.55709838867188
Item: 353, Location ID: 1xhpuW5YbRRROwtAyXhZUw_37.779753_-122.412259, lat:37.779753, long-122.412259, alt120, time(sec): 257.5534076690674
Item: 354, Location ID: J55rks9nmgxzebIuGgDHgQ_37.751494_-122.430697, lat:37.751494, long-122.430697, alt154, time(sec): 238.56170129776
Item: 355, Location ID: I6zTv4n6tRxCJA0ns18yTg_37.779665_-122.410364, lat:37.779665, long-122.410364, alt117, time(sec): 383.57305669784546
Item: 356, Location ID: ximHUSpdNOB7QgW9yg8z5g_37.764119_-122.449659, lat:37.764119, long-122.449659, alt198, time(sec): 347.57266545295715
Item: 357, Location ID: 7rrsvYkLGkrRTALnDAaXjg_37.747325_-122.414571, lat:37.747325, long-122.414571, alt119, time(sec): 68.54866337776184
Item: 358, Location ID: bw_K5_WwAe4_YUI5HafI3w_37.777275_-122.449989, lat:37.777275, long-122.449989, alt200, time(sec): 50.58278298377991
Item: 359, Location ID: CKgyKo_ms75nDh1nIJxM-g_37.767627_-122.422199, lat:37.767627, long-122.422199, alt114, time(sec): 50.61301946640015
Item: 360, Location ID: uJv_UbnkrwRhfMdXOrUkmg_37.753083_-122.418512, lat:37.753083, long-122.418512, alt124, time(sec): 50.6037437915802
Item: 361, Location ID: cdfoizSgRSkHCGSsZaVaGQ_37.757619_-122.436322, lat:37.757619, long-122.436322, alt173, time(sec): 50.60404849052429
Item: 362, Location ID: TL6-nESWCAnGUz_XzKaDkQ_37.752034_-122.429744, lat:37.752034, long-122.429744, alt161, time(sec): 50.60571813583374
Item: 363, Location ID: 03waL-DqaW3GS-askjuQsg_37.781407_-122.437387, lat:37.781407, long-122.437387, alt147, time(sec): 50.60118865966797
Item: 364, Location ID: zjmMulLmzrJZ2gLmAerahw_37.780961_-122.416234, lat:37.780961, long-122.416234, alt128, time(sec): 50.61428713798523
Item: 365, Location ID: wI982cz7v3nZT9toaPIzIQ_37.743738_-122.412734, lat:37.743738, long-122.412734, alt170, time(sec): 50.608134269714355
Item: 366, Location ID: fUznVJPiY3G6LrPs-p510A_37.744758_-122.422864, lat:37.744758, long-122.422864, alt130, time(sec): 50.58985614776611
Item: 367, Location ID: u7Yc-vlTJPqKfj6-J6pgCg_37.779594_-122.415074, lat:37.779594, long-122.415074, alt119, time(sec): 50.620692014694214
Item: 368, Location ID: fUTxgWLXmVlADL3_zuDxYg_37.771040_-122.389648, lat:37.77104, long-122.389648, alt100, time(sec): 50.60878658294678
Item: 369, Location ID: q7U1-MlcJwJlh2XgnTTd5A_37.788846_-122.432145, lat:37.788846, long-122.432145, alt176, time(sec): 50.604549169540405
Item: 370, Location ID: -qqbcCBCslQG_bCM7Jl5BQ_37.780566_-122.441243, lat:37.780566, long-122.441243, alt179, time(sec): 50.61473059654236
Item: 371, Location ID: 4p0bgQWNK8MUIdzn31zCKw_37.751723_-122.450001, lat:37.751723, long-122.450001, alt312, time(sec): 50.604212045669556
Item: 372, Location ID: anaMPKwswK2XgTmtZyGj6A_37.758003_-122.401974, lat:37.758003, long-122.401974, alt177, time(sec): 50.625460386276245
Item: 373, Location ID: KqFgVHaisa0f7Ii5j5Lf1Q_37.773789_-122.439925, lat:37.773789, long-122.439925, alt163, time(sec): 50.61805701255798
Item: 374, Location ID: Y8fd7IIk-Z5N9PQ7-Iyq7g_37.759936_-122.398300, lat:37.759936, long-122.3983, alt154, time(sec): 50.61247253417969
Item: 375, Location ID: OFoDW2Gu2VyksmpJrYER9g_37.749473_-122.402451, lat:37.749473, long-122.402451, alt105, time(sec): 50.60887336730957
Item: 376, Location ID: WPyY4nWOZ4nTndm_rE5PBQ_37.785957_-122.426677, lat:37.785957, long-122.426677, alt173, time(sec): 50.61295127868652
