ExpID: 1760689755
Start Location: 344
Number of Location: 300
StartTime: 2025-10-17 04:29:15.373929

Item: 344, Location ID: B7Ess3XDVYnjF1V_YNpvhQ_37.788998_-122.406884, lat:37.788998, long-122.406884, alt138, time(sec): 115.82268524169922
Item: 345, Location ID: VrTovhCO65ESxgsL88fM-g_37.761233_-122.429802, lat:37.761233, long-122.429802, alt127, time(sec): 120.67487597465515
Item: 346, Location ID: xq_epoRNyrwIMsJOTH659g_37.737258_-122.439855, lat:37.737258, long-122.439855, alt202, time(sec): 185.55955386161804
Item: 347, Location ID: o6wVdi5tppX9m8zlVQ3lkw_37.788695_-122.450102, lat:37.788695, long-122.450102, alt195, time(sec): 267.5519268512726
Item: 348, Location ID: APMN0HHDhcx_nCk1Hs0nrw_37.751187_-122.415079, lat:37.751187, long-122.415079, alt121, time(sec): 270.56266260147095
Item: 349, Location ID: ywo_cdiL2e89NlDC30G8uA_37.741871_-122.405527, lat:37.741871, long-122.405527, alt102, time(sec): 56.56307673454285
Item: 350, Location ID: 76qAcAAfwqbeWOyu0ZU9cA_37.759466_-122.400140, lat:37.759466, long-122.40014, alt155, time(sec): 50.59313344955444
Item: 351, Location ID: GdZVhhXvWs-BLaYmv8G3PQ_37.778294_-122.391322, lat:37.778294, long-122.391322, alt110, time(sec): 50.60663843154907
Item: 352, Location ID: sJ7-rBTU59Ijb6vVdkMksQ_37.784747_-122.443735, lat:37.784747, long-122.443735, alt162, time(sec): 50.60075235366821
Item: 353, Location ID: 1xhpuW5YbRRROwtAyXhZUw_37.779753_-122.412259, lat:37.779753, long-122.412259, alt120, time(sec): 50.60702967643738
Item: 354, Location ID: J55rks9nmgxzebIuGgDHgQ_37.751494_-122.430697, lat:37.751494, long-122.430697, alt154, time(sec): 50.61452794075012
Item: 355, Location ID: I6zTv4n6tRxCJA0ns18yTg_37.779665_-122.410364, lat:37.779665, long-122.410364, alt117, time(sec): 50.61513137817383
Item: 356, Location ID: ximHUSpdNOB7QgW9yg8z5g_37.764119_-122.449659, lat:37.764119, long-122.449659, alt198, time(sec): 50.59695816040039
Item: 357, Location ID: 7rrsvYkLGkrRTALnDAaXjg_37.747325_-122.414571, lat:37.747325, long-122.414571, alt119, time(sec): 50.617188453674316
Item: 358, Location ID: bw_K5_WwAe4_YUI5HafI3w_37.777275_-122.449989, lat:37.777275, long-122.449989, alt200, time(sec): 50.604403018951416
Item: 359, Location ID: CKgyKo_ms75nDh1nIJxM-g_37.767627_-122.422199, lat:37.767627, long-122.422199, alt114, time(sec): 50.595903396606445
Item: 360, Location ID: uJv_UbnkrwRhfMdXOrUkmg_37.753083_-122.418512, lat:37.753083, long-122.418512, alt124, time(sec): 50.61353778839111
Item: 361, Location ID: cdfoizSgRSkHCGSsZaVaGQ_37.757619_-122.436322, lat:37.757619, long-122.436322, alt173, time(sec): 50.614006996154785
Item: 362, Location ID: TL6-nESWCAnGUz_XzKaDkQ_37.752034_-122.429744, lat:37.752034, long-122.429744, alt161, time(sec): 50.61449980735779
Item: 363, Location ID: 03waL-DqaW3GS-askjuQsg_37.781407_-122.437387, lat:37.781407, long-122.437387, alt147, time(sec): 50.60127091407776
Item: 364, Location ID: zjmMulLmzrJZ2gLmAerahw_37.780961_-122.416234, lat:37.780961, long-122.416234, alt128, time(sec): 50.607099294662476
Item: 365, Location ID: wI982cz7v3nZT9toaPIzIQ_37.743738_-122.412734, lat:37.743738, long-122.412734, alt170, time(sec): 50.59505105018616
Item: 366, Location ID: fUznVJPiY3G6LrPs-p510A_37.744758_-122.422864, lat:37.744758, long-122.422864, alt130, time(sec): 50.60908126831055
Item: 367, Location ID: u7Yc-vlTJPqKfj6-J6pgCg_37.779594_-122.415074, lat:37.779594, long-122.415074, alt119, time(sec): 50.60028028488159
Item: 368, Location ID: fUTxgWLXmVlADL3_zuDxYg_37.771040_-122.389648, lat:37.77104, long-122.389648, alt100, time(sec): 50.61746096611023
Item: 369, Location ID: q7U1-MlcJwJlh2XgnTTd5A_37.788846_-122.432145, lat:37.788846, long-122.432145, alt176, time(sec): 50.60363817214966
Item: 370, Location ID: -qqbcCBCslQG_bCM7Jl5BQ_37.780566_-122.441243, lat:37.780566, long-122.441243, alt179, time(sec): 50.617852210998535
Item: 371, Location ID: 4p0bgQWNK8MUIdzn31zCKw_37.751723_-122.450001, lat:37.751723, long-122.450001, alt312, time(sec): 50.6183922290802
Item: 372, Location ID: anaMPKwswK2XgTmtZyGj6A_37.758003_-122.401974, lat:37.758003, long-122.401974, alt177, time(sec): 50.607866048812866
Item: 373, Location ID: KqFgVHaisa0f7Ii5j5Lf1Q_37.773789_-122.439925, lat:37.773789, long-122.439925, alt163, time(sec): 50.59544229507446
Item: 374, Location ID: Y8fd7IIk-Z5N9PQ7-Iyq7g_37.759936_-122.398300, lat:37.759936, long-122.3983, alt154, time(sec): 50.610857009887695
Item: 375, Location ID: OFoDW2Gu2VyksmpJrYER9g_37.749473_-122.402451, lat:37.749473, long-122.402451, alt105, time(sec): 50.618752241134644
Item: 376, Location ID: WPyY4nWOZ4nTndm_rE5PBQ_37.785957_-122.426677, lat:37.785957, long-122.426677, alt173, time(sec): 50.608068227767944
Item: 377, Location ID: caZhqFm0RUgBRIQddNCFOg_37.780641_-122.395426, lat:37.780641, long-122.395426, alt108, time(sec): 50.599709272384644
Item: 378, Location ID: W7csJBX8Dbce4J-b659LtA_37.784770_-122.436370, lat:37.78477, long-122.43637, alt146, time(sec): 50.613189458847046
Item: 379, Location ID: fA_Oo-siveyzSLR-9j7Cwg_37.764660_-122.426878, lat:37.76466, long-122.426878, alt127, time(sec): 50.59869885444641
Item: 380, Location ID: cK4lx9WYYon2wPgr84wpzg_37.776131_-122.396072, lat:37.776131, long-122.396072, alt104, time(sec): 50.61863112449646
Item: 381, Location ID: kaaTeGQy8rVE2eEm-aPuzg_37.782595_-122.400402, lat:37.782595, long-122.400402, alt115, time(sec): 50.607556104660034
Item: 382, Location ID: cRDMr4bFz4ehE2umrEgGtA_37.758440_-122.422419, lat:37.75844, long-122.422419, alt122, time(sec): 50.613927125930786
Item: 383, Location ID: S7U8xgPJSr_ZG5GrI7GhsQ_37.750068_-122.418225, lat:37.750068, long-122.418225, alt122, time(sec): 50.60696887969971
Item: 384, Location ID: OKBF9-ixnKdsSuF-LWB97w_37.766906_-122.410852, lat:37.766906, long-122.410852, alt119, time(sec): 50.6081428527832
Item: 385, Location ID: 7x7b7kfj_i29Qzjs4107gg_37.746891_-122.408418, lat:37.746891, long-122.408418, alt130, time(sec): 50.60951828956604
Item: 386, Location ID: dTG4RhoABjHjT8LqtTemUQ_37.758163_-122.411506, lat:37.758163, long-122.411506, alt112, time(sec): 50.614903926849365
Item: 387, Location ID: HIjFiGiwUDXcQJFVMTiHZg_37.788198_-122.408320, lat:37.788198, long-122.40832, alt152, time(sec): 50.60803461074829
Item: 388, Location ID: RKKR6L9KUSY-0uZzRIKRtQ_37.772628_-122.393582, lat:37.772628, long-122.393582, alt101, time(sec): 50.61397409439087
Item: 389, Location ID: ds41Tq4ALdh4dFyGzHiElw_37.737273_-122.442468, lat:37.737273, long-122.442468, alt229, time(sec): 50.613704681396484
Item: 390, Location ID: uWxp47RsBp-7W14plefWKg_37.745396_-122.393980, lat:37.745396, long-122.39398, alt101, time(sec): 50.60231614112854
Item: 391, Location ID: x7RbcV7ppOXCKt1qI1tOiw_37.773669_-122.392508, lat:37.773669, long-122.392508, alt100, time(sec): 50.60885000228882
Item: 392, Location ID: MkSPaLVkqFGUgcpooxXmlQ_37.765935_-122.447842, lat:37.765935, long-122.447842, alt205, time(sec): 50.612197399139404
Item: 393, Location ID: Dx4n7sB0O3dqmjVQ1TzUOQ_37.759670_-122.448271, lat:37.75967, long-122.448271, alt271, time(sec): 50.60942482948303
