ExpID: 1764925782
Start Location: 1103
Number of Location: 500
StartTime: 2025-12-05 04:09:42.959074

Item: 1103, Location ID: p9PN5AqpspuvFuE8BDA-OQ_47.559780_-122.323340, lat:47.55978, long:-122.32334, alt104, time(sec): 62.56467080116272
Item: 1104, Location ID: Wvt4aDWer8zFBm_xpSV-1Q_47.605225_-122.335972, lat:47.605225, long:-122.335972, alt125, time(sec): 75.56123471260071
Item: 1105, Location ID: w7sVp4kF4m5yYodJz7Zshg_47.560863_-122.296733, lat:47.560863, long:-122.296733, alt166, time(sec): 71.59196734428406
Item: 1106, Location ID: vgxb2fI8GioDZFJFAPvWmw_47.571389_-122.295487, lat:47.571389, long:-122.295487, alt127, time(sec): 69.59058904647827
Item: 1107, Location ID: _r1ot6p14uuRXajf7eGbdg_47.586366_-122.311330, lat:47.586366, long:-122.31133, alt169, time(sec): 74.73071837425232
Item: 1108, Location ID: 3uqW7VdUEv8ysT_Ca_XTpQ_47.577865_-122.332608, lat:47.577865, long:-122.332608, alt103, time(sec): 62.63925218582153
Item: 1109, Location ID: c9krJoFneU3SFTOvjt35yQ_47.615815_-122.302605, lat:47.615815, long:-122.302605, alt201, time(sec): 71.70087838172913
Item: 1110, Location ID: KLnsoJcsoVWszKMFMcNHEw_47.614676_-122.302632, lat:47.614676, long:-122.302632, alt199, time(sec): 66.61439371109009
Item: 1111, Location ID: m-Ae-EWUNh_KlctaIAg92w_47.593727_-122.304685, lat:47.593727, long:-122.304685, alt163, time(sec): 69.58383178710938
Item: 1112, Location ID: FdU-aleaCu3v4g5QxxZKXQ_47.614132_-122.322107, lat:47.614132, long:-122.322107, alt192, time(sec): 74.39348268508911
Item: 1113, Location ID: P2M1AMUPchu4sQ44gjypSg_47.606856_-122.320083, lat:47.606856, long:-122.320083, alt212, time(sec): 81.37962889671326
Item: 1114, Location ID: LY4zpSSgzGEs6Ironz3Ifw_47.597628_-122.329709, lat:47.597628, long:-122.329709, alt106, time(sec): 70.39099168777466
Item: 1115, Location ID: AywzKqtRm2vhw5EdeBFtMw_47.565036_-122.314773, lat:47.565036, long:-122.314773, alt185, time(sec): 73.39665627479553
Item: 1116, Location ID: uhOVxeTd75p7diiaPF2K-Q_47.600071_-122.335950, lat:47.600071, long:-122.33595, alt110, time(sec): 67.3952898979187
Item: 1117, Location ID: hTdBqmlERtyOdA5Or6l4qA_47.601842_-122.327026, lat:47.601842, long:-122.327026, alt146, time(sec): 73.40584659576416
Item: 1118, Location ID: pDrXxrzNLX2yLN0m_C4mgQ_47.590731_-122.329901, lat:47.590731, long:-122.329901, alt116, time(sec): 71.40743660926819
Item: 1119, Location ID: wD_QLQ1edWSE6aiB455rkQ_47.620847_-122.310072, lat:47.620847, long:-122.310072, alt227, time(sec): 78.38798689842224
Item: 1120, Location ID: qreerwf7hw5LbmaPMCmCjQ_47.597763_-122.301169, lat:47.597763, long:-122.301169, alt187, time(sec): 74.39755082130432
Item: 1121, Location ID: R50bMwCxHuZnKvO9PBWJ1w_47.616096_-122.294858, lat:47.616096, long:-122.294858, alt155, time(sec): 63.413652658462524
Item: 1122, Location ID: RSJgSAmWlMm3Vyg-J42D6w_47.567024_-122.310065, lat:47.567024, long:-122.310065, alt204, time(sec): 73.39343762397766
Item: 1123, Location ID: Pso2lWqUGnFXEaTiI4QRvg_47.574080_-122.290982, lat:47.57408, long:-122.290982, alt124, time(sec): 69.39943313598633
Item: 1124, Location ID: kIIR9ptbB_IeZoWXeA8VdQ_47.568178_-122.299428, lat:47.568178, long:-122.299428, alt164, time(sec): 67.39717268943787
Item: 1125, Location ID: dUAo3lEkAXLeaTr0_uwkrw_47.573209_-122.313961, lat:47.573209, long:-122.313961, alt177, time(sec): 71.38917064666748
Item: 1126, Location ID: 5OdZG0hft7FsqSndE7YgLg_47.562363_-122.321927, lat:47.562363, long:-122.321927, alt112, time(sec): 60.40691661834717
Item: 1127, Location ID: oTr-N-nD8atr9mFy04xBdQ_47.607014_-122.292606, lat:47.607014, long:-122.292606, alt199, time(sec): 80.39124393463135
Item: 1128, Location ID: 47Ns3o12DmTJTkUf_Z_HVw_47.603520_-122.307369, lat:47.60352, long:-122.307369, alt196, time(sec): 71.39054989814758
Item: 1129, Location ID: oZYkX0BRIF5HR5BawvOTFg_47.605453_-122.333896, lat:47.605453, long:-122.333896, alt153, time(sec): 87.35009717941284
Item: 1130, Location ID: raKHi2N4P3IizMEqG8g9IA_47.608958_-122.289446, lat:47.608958, long:-122.289446, alt206, time(sec): 80.37660384178162
Item: 1131, Location ID: O0f_xGHIiRhxQmESQp-ORQ_47.570893_-122.314167, lat:47.570893, long:-122.314167, alt168, time(sec): 71.39513540267944
Item: 1132, Location ID: CYwqx4QVgW7FdexdlpcsKw_47.582265_-122.327621, lat:47.582265, long:-122.327621, alt103, time(sec): 61.40649461746216
Item: 1133, Location ID: ISTSda1FN0lI2ZMC47NN_Q_47.559036_-122.309182, lat:47.559036, long:-122.309182, alt184, time(sec): 43.40606999397278
Item: 1134, Location ID: rdpbYuFIrGd737VqGFdR9w_47.577844_-122.291949, lat:47.577844, long:-122.291949, alt136, time(sec): 71.41032075881958
Item: 1135, Location ID: 8TgRW54kUTrxPgmGU29mYw_47.595771_-122.298796, lat:47.595771, long:-122.298796, alt172, time(sec): 72.40657210350037
Item: 1136, Location ID: 2oeego1zmzvUvLwriidw5Q_47.566583_-122.331967, lat:47.566583, long:-122.331967, alt102, time(sec): 65.40964698791504
