ExpID: 1764807079
Start Location: 852
Number of Location: 500
StartTime: 2025-12-03 19:11:19.974325

Item: 852, Location ID: _lyT3cwHI8u2ZFzoG3zhRA_47.560489_-122.308718, lat:47.560489, long:-122.308718, alt190, time(sec): 72.77661776542664
Item: 853, Location ID: XgjiHRv1i14O7cqNh4AEsg_47.590498_-122.287497, lat:47.590498, long:-122.287497, alt127, time(sec): 63.58560872077942
Item: 854, Location ID: yuQh9B79lP-OfqGu3VZE4Q_47.570166_-122.294744, lat:47.570166, long:-122.294744, alt132, time(sec): 71.6353178024292
Item: 855, Location ID: mp-mqpcvwPbBToijuD6dPw_47.598614_-122.316364, lat:47.598614, long:-122.316364, alt153, time(sec): 70.5980372428894
Item: 856, Location ID: lRYUZiHOtjVk0poBV3TTzg_47.561168_-122.316096, lat:47.561168, long:-122.316096, alt170, time(sec): 73.63013482093811
Item: 857, Location ID: D3AsL3oWc7UmmuW0pCcrfg_47.603265_-122.318119, lat:47.603265, long:-122.318119, alt180, time(sec): 74.62555861473083
Item: 858, Location ID: JhTdx4PnvmG0Sx8j_NKV7w_47.578239_-122.332479, lat:47.578239, long:-122.332479, alt103, time(sec): 65.63264918327332
Item: 859, Location ID: LovPxPCAlH6tjLmUAAZAMg_47.597706_-122.297444, lat:47.597706, long:-122.297444, alt179, time(sec): 77.73333096504211
Item: 860, Location ID: gdGlS6muObuKtcXxy61cpg_47.600844_-122.309946, lat:47.600844, long:-122.309946, alt183, time(sec): 73.65084719657898
Item: 861, Location ID: icmz7csYOEhp5GQryajn-Q_47.577748_-122.314533, lat:47.577748, long:-122.314533, alt177, time(sec): 78.58456325531006
Item: 862, Location ID: 1hXk5VWmNDfijWZwzwW5xA_47.566718_-122.333966, lat:47.566718, long:-122.333966, alt104, time(sec): 64.59287095069885
Item: 863, Location ID: 9Xz3BZR-miYEB2zHu9a_iQ_47.579287_-122.330032, lat:47.579287, long:-122.330032, alt105, time(sec): 63.67242360115051
Item: 864, Location ID: QVuLiXyZh4oQKR0YurBD_A_47.578355_-122.303310, lat:47.578355, long:-122.30331, alt164, time(sec): 70.67632293701172
Item: 865, Location ID: x7JU7FwIoaQTyzDnFNpHHA_47.619919_-122.322255, lat:47.619919, long:-122.322255, alt202, time(sec): 78.70055174827576
Item: 866, Location ID: oBEkcwAnXzGUv0uGrYRkhQ_47.576227_-122.289876, lat:47.576227, long:-122.289876, alt135, time(sec): 75.61458253860474
Item: 867, Location ID: CWb7318jZSJ6Iup-BuHb9w_47.614287_-122.324460, lat:47.614287, long:-122.32446, alt185, time(sec): 80.8125069141388
Item: 868, Location ID: OysGxTtV6go73Zl7FucDlw_47.583003_-122.320701, lat:47.583003, long:-122.320701, alt103, time(sec): 60.7921347618103
