ExpID: 1765778182
Start Location: 556
Location: NewYork
Number of Location: 500
StartTime: 2025-12-15 00:56:22.479521

Item: 556, Location ID: _kPRPwWdGit52HhzFTD-7w_40.751615_-73.968537, lat:40.751615, long:-73.968537, alt111, time(sec): 99.42584204673767
Item: 557, Location ID: muNjZDaiSvQW1h-kfUn85Q_40.759118_-73.988416, lat:40.759118, long:-73.988416, alt123, time(sec): 120.61645030975342
Item: 558, Location ID: yvIaMY5gTzWxnCIl-ZseXQ_40.761392_-73.981512, lat:40.761392, long:-73.981512, alt121, time(sec): 127.35620284080505
Item: 559, Location ID: Q2L0Ie0ByULoyMucEbNDTg_40.735605_-74.007742, lat:40.735605, long:-74.007742, alt114, time(sec): 93.45881986618042
Item: 560, Location ID: AW01EW_lFwz3gNxlFzB_NA_40.740054_-73.999128, lat:40.740054, long:-73.999128, alt116, time(sec): 109.4714903831482
Item: 561, Location ID: ClabY1mZ2qk_P15Sp5IHQw_40.736440_-73.978858, lat:40.73644, long:-73.978858, alt108, time(sec): 104.32952404022217
Item: 562, Location ID: mSTMS6uCxXaNHyYpDdhSvg_40.781534_-73.945971, lat:40.781534, long:-73.945971, alt114, time(sec): 95.49161291122437
Item: 563, Location ID: POLlCvvYXlmJEJLLbspKfg_40.730706_-73.978029, lat:40.730706, long:-73.978029, alt112, time(sec): 101.54670143127441
Item: 564, Location ID: VnaMLy9SFRwxgSEg4dqwHg_40.734377_-73.987621, lat:40.734377, long:-73.987621, alt125, time(sec): 111.59110403060913
Item: 565, Location ID: IGjBGOeoZjtB72db4jkjXg_40.731769_-73.999389, lat:40.731769, long:-73.999389, alt115, time(sec): 102.39840388298035
Item: 566, Location ID: msQ5NAYb0-KL7OfO4Z4A-Q_40.725980_-74.011148, lat:40.72598, long:-74.011148, alt100, time(sec): 84.42523717880249
Item: 567, Location ID: GD-iwnYKdZqp_JPbtXeQ-w_40.702214_-74.013445, lat:40.702214, long:-74.013445, alt102, time(sec): 87.60185551643372
