ExpID: 1765660117
Start Location: 41
Location: NewYork
Number of Location: 500
StartTime: 2025-12-13 16:08:37.481047

Item: 41, Location ID: K7toMjROlN4nF9U6fVPgTw_40.749070_-73.988289, lat:40.74907, long:-73.988289, alt114, time(sec): 154.58337807655334
Item: 42, Location ID: tUH36FbG9iTQzw7Gq9YhcQ_40.725663_-73.991991, lat:40.725663, long:-73.991991, alt120, time(sec): 130.78908777236938
Item: 43, Location ID: V3ru3w2t40Su3O17Ndbu6g_40.745622_-74.003236, lat:40.745622, long:-74.003236, alt115, time(sec): 132.4541256427765
Item: 44, Location ID: G2Xg4nKrLeAZqvo0cmfzYg_40.734682_-73.983238, lat:40.734682, long:-73.983238, alt123, time(sec): 133.3714063167572
Item: 45, Location ID: LFry06xdyWmpuiis3WOs5w_40.741402_-73.977600, lat:40.741402, long:-73.9776, alt117, time(sec): 137.4264588356018
Item: 46, Location ID: jb_qH15KQO5n2p1Lh-mjWQ_40.741846_-73.992362, lat:40.741846, long:-73.992362, alt114, time(sec): 142.4364194869995
Item: 47, Location ID: zfwapAp-c87Xk7sB9iSYoA_40.732407_-73.999008, lat:40.732407, long:-73.999008, alt116, time(sec): 128.6592915058136
Item: 48, Location ID: hm7b_-XP6kKIQso22NxMxA_40.709513_-74.001158, lat:40.709513, long:-74.001158, alt114, time(sec): 120.46891903877258
Item: 49, Location ID: GiSvwHK2YaAAihned5MjUw_40.710714_-73.993115, lat:40.710714, long:-73.993115, alt109, time(sec): 110.52202701568604
Item: 50, Location ID: nL6iAtJiBeMb_seZ3nDhNQ_40.747222_-73.977067, lat:40.747222, long:-73.977067, alt125, time(sec): 147.4141550064087
Item: 51, Location ID: 4s73PeNvhcWB_QP1JlTyFw_40.778560_-73.987413, lat:40.77856, long:-73.987413, alt144, time(sec): 117.42293858528137
Item: 52, Location ID: z-Kf2Z7juJBs1SCTCNqy9w_40.768599_-73.957867, lat:40.768599, long:-73.957867, alt134, time(sec): 140.39804124832153
Item: 53, Location ID: XE26S0M7ngW0Bmmtl9E0bg_40.769513_-73.970395, lat:40.769513, long:-73.970395, alt116, time(sec): 125.4808259010315
Item: 54, Location ID: -6gCeo9mcZEYv-x_4zZktA_40.740007_-73.995385, lat:40.740007, long:-73.995385, alt123, time(sec): 140.50988674163818
Item: 55, Location ID: YvG72bwN-H3V0tPrHuJz7A_40.710484_-73.986957, lat:40.710484, long:-73.986957, alt106, time(sec): 107.47689771652222
Item: 56, Location ID: 2IAxvjcLVQcvT9Og5aq5jQ_40.758111_-73.985446, lat:40.758111, long:-73.985446, alt115, time(sec): 157.42013692855835
Item: 57, Location ID: wee60sfvlrZRiX7BtrZWlA_40.727034_-73.996854, lat:40.727034, long:-73.996854, alt127, time(sec): 130.49842262268066
Item: 58, Location ID: iCAbtqfH-NmrazOoZ0Sy-w_40.751272_-74.006758, lat:40.751272, long:-74.006758, alt116, time(sec): 114.46557188034058
Item: 59, Location ID: aMrYg1o9xTGbmmVxfkBEjw_40.756572_-74.005686, lat:40.756572, long:-74.005686, alt101, time(sec): 101.50311279296875
Item: 60, Location ID: mEiwQ9f5Ue9n9yoiWLjaeg_40.751461_-73.997695, lat:40.751461, long:-73.997695, alt128, time(sec): 138.35317516326904
Item: 61, Location ID: ImMwAAT6kk5q9q-DdegZVw_40.775267_-73.980387, lat:40.775267, long:-73.980387, alt128, time(sec): 136.5766065120697
Item: 62, Location ID: qBMR2hWF9Utn9qJGR5WMBg_40.780094_-73.981066, lat:40.780094, long:-73.981066, alt135, time(sec): 136.50325798988342
Item: 63, Location ID: 6-4NchAVh0dqH2ht0BGnFA_40.719820_-74.007167, lat:40.71982, long:-74.007167, alt128, time(sec): 133.4725706577301
Item: 64, Location ID: s2OA_u564DL8FZELDqkDpg_40.777090_-73.952351, lat:40.77709, long:-73.952351, alt132, time(sec): 140.5646779537201
Item: 65, Location ID: xi002BmJFkfNmXg9RZ7hug_40.734780_-74.008571, lat:40.73478, long:-74.008571, alt116, time(sec): 108.48938512802124
Item: 66, Location ID: G9rzkDYPU3QQ6CpXfM9_2g_40.750892_-73.976799, lat:40.750892, long:-73.976799, alt117, time(sec): 162.39670181274414
Item: 67, Location ID: I5ZC-uyJSpQfcQh6TXkpbg_40.750833_-73.990197, lat:40.750833, long:-73.990197, alt115, time(sec): 159.3979754447937
Item: 68, Location ID: hkG1O9AclSVu2cY1yrpG8w_40.751846_-73.980973, lat:40.751846, long:-73.980973, alt154, time(sec): 205.5246331691742
Item: 69, Location ID: 8Tv70MLhiEqT26sW6loBxw_40.767989_-73.981043, lat:40.767989, long:-73.981043, alt125, time(sec): 388.37125039100647
Item: 70, Location ID: m5L7HHwkM_6S53xZZFQEzA_40.774218_-73.991855, lat:40.774218, long:-73.991855, alt104, time(sec): 355.31397700309753
Item: 71, Location ID: tR3KDONiNJlbgr7VCdqQaA_40.776696_-73.968199, lat:40.776696, long:-73.968199, alt123, time(sec): 510.45667338371277
Item: 72, Location ID: Dshnce8GXq6d9MIYm_psIw_40.745365_-74.006261, lat:40.745365, long:-74.006261, alt106, time(sec): 642.4284334182739
Item: 73, Location ID: GBJ_Oo5njKW5rNr6R4xovA_40.714092_-74.003368, lat:40.714092, long:-74.003368, alt128, time(sec): 1010.402734041214
Item: 74, Location ID: xJXHo4WviLGl-ZohEqfjjw_40.766328_-73.956548, lat:40.766328, long:-73.956548, alt132, time(sec): 583.4928467273712
Item: 75, Location ID: aS-lrT8ii38p4n5qsWSGcw_40.740491_-73.983062, lat:40.740491, long:-73.983062, alt135, time(sec): 234.45276808738708
Item: 76, Location ID: 4gpm4jyt-ExDifQsPOdISA_40.770167_-73.959488, lat:40.770167, long:-73.959488, alt131, time(sec): 425.40939688682556
Item: 77, Location ID: XzPGJArjdpsqA5KIDmr4XA_40.763556_-73.959671, lat:40.763556, long:-73.959671, alt126, time(sec): 561.3820502758026
Item: 78, Location ID: w_guWFti-K_nV8b53-EIQg_40.739345_-73.980359, lat:40.739345, long:-73.980359, alt127, time(sec): 819.3385317325592
Item: 79, Location ID: YehY-wsdHP248HUc_E8WVw_40.727314_-73.982787, lat:40.727314, long:-73.982787, alt113, time(sec): 760.4289989471436
Item: 80, Location ID: wCg5Dfy_ypWe_cy9fXABjQ_40.760315_-73.991262, lat:40.760315, long:-73.991262, alt119, time(sec): 764.4252688884735
Item: 81, Location ID: YyAttD_2IkH1CkBhP2_YXw_40.768908_-73.988719, lat:40.768908, long:-73.988719, alt124, time(sec): 135.53953385353088
Item: 82, Location ID: vdC6EY04ecxYDbpEFMQbPg_40.761250_-73.972004, lat:40.76125, long:-73.972004, alt116, time(sec): 161.4071855545044
