ExpID: 1767090795
Start Location: 230
Location: Chicago
Number of Location: 1000
StartTime: 2025-12-30 05:33:15.786562

Item: 230, Location ID: Ma6uciyMf79_BBve1vq38w_41.885726_-87.632942, lat:41.885726, long:-87.632942, alt283, time(sec): 116.50076222419739
Item: 231, Location ID: wdGm6rOC1ZUOwQsXUJpUGQ_41.876575_-87.653088, lat:41.876575, long:-87.653088, alt292, time(sec): 92.5541455745697
Item: 232, Location ID: 28bW6jCt_rgu-3pn-SV-yA_41.879329_-87.685320, lat:41.879329, long:-87.68532, alt279, time(sec): 82.45615077018738
Item: 233, Location ID: VmoY8OkxvGzO-DkogFr8wQ_41.854333_-87.621567, lat:41.854333, long:-87.621567, alt284, time(sec): 96.40000486373901
Item: 234, Location ID: 8r2LpqtWXD1cNkPa8rncNw_41.857848_-87.678451, lat:41.857848, long:-87.678451, alt280, time(sec): 84.2193329334259
Item: 235, Location ID: hOaiZR8f0Knm7BWU3K7Itw_41.885714_-87.635991, lat:41.885714, long:-87.635991, alt309, time(sec): 119.21143698692322
Item: 236, Location ID: lVxBLldN1NSFtz7YbcbdYw_41.880680_-87.631109, lat:41.88068, long:-87.631109, alt283, time(sec): 123.17685985565186
Item: 237, Location ID: D64Ig9Eh3D7O-rxvOCN7qQ_41.862297_-87.640535, lat:41.862297, long:-87.640535, alt285, time(sec): 87.19517469406128
Item: 238, Location ID: uSyH5Gdk13DKrepeqlJOfg_41.866942_-87.656534, lat:41.866942, long:-87.656534, alt279, time(sec): 86.2241563796997
Item: 239, Location ID: 7rSYT_tldaF970UvyXpg3A_41.882465_-87.624528, lat:41.882465, long:-87.624528, alt299, time(sec): 117.21251559257507
Item: 240, Location ID: JyU4CGnbdcSfXMXQkPp7QQ_41.873042_-87.652097, lat:41.873042, long:-87.652097, alt287, time(sec): 91.21776556968689
Item: 241, Location ID: 2QGtPX572b0z2OQO9PIF7A_41.877431_-87.643978, lat:41.877431, long:-87.643978, alt296, time(sec): 100.2234935760498
Item: 242, Location ID: drxH6FSSsaUc10ocx8nBWA_41.880571_-87.682941, lat:41.880571, long:-87.682941, alt281, time(sec): 82.20848989486694
Item: 243, Location ID: XHUnML2e6D4lwT6nDg_RcQ_41.866418_-87.676167, lat:41.866418, long:-87.676167, alt281, time(sec): 86.23187828063965
Item: 244, Location ID: XR5Z-nMl4U38AjpBHkJYJQ_41.872533_-87.633601, lat:41.872533, long:-87.633601, alt313, time(sec): 96.21051692962646
Item: 245, Location ID: gJsSFCwo0GzSZXkupKlzUw_41.893411_-87.662447, lat:41.893411, long:-87.662447, alt281, time(sec): 91.21441125869751
Item: 246, Location ID: e9kU4kmbf25I98Q2Z-bqcA_41.873311_-87.658403, lat:41.873311, long:-87.658403, alt283, time(sec): 92.23498344421387
Item: 247, Location ID: 3s5DZ8AHT11Sq-69NOIuyA_41.858887_-87.690755, lat:41.858887, long:-87.690755, alt283, time(sec): 84.2218918800354
Item: 248, Location ID: iq-9-tk7LCg06JDP17WvfQ_41.873579_-87.629144, lat:41.873579, long:-87.629144, alt300, time(sec): 103.21020436286926
Item: 249, Location ID: kRlMeKJ-Q87JQqInAYSpvA_41.862566_-87.622364, lat:41.862566, long:-87.622364, alt286, time(sec): 98.22105741500854
Item: 250, Location ID: cNrHdfnvnsanYpfXUx0YIg_41.881039_-87.660687, lat:41.881039, long:-87.660687, alt285, time(sec): 91.22503113746643
Item: 251, Location ID: yifMP2X4lz8lsN1y1qbSGw_41.891473_-87.666839, lat:41.891473, long:-87.666839, alt280, time(sec): 90.2158100605011
Item: 252, Location ID: WNNOHgnGxu-SuxV7RZePDQ_41.893719_-87.628097, lat:41.893719, long:-87.628097, alt276, time(sec): 109.2140839099884
