ExpID: 1764630148
Start Location: 180
Number of Location: 300
StartTime: 2025-12-01 18:02:28.226421

Item: 180, Location ID: bgypPXCe-8OHjgVu5rbShA_47.568256_-122.307083, lat:47.568256, long:-122.307083, alt203, time(sec): 98.6277494430542
Item: 181, Location ID: 0zRirnOtJMpOKwttJj6ndQ_47.600006_-122.305278, lat:47.600006, long:-122.305278, alt184, time(sec): 93.64897131919861
Item: 182, Location ID: 6CZSgbC8Avd_1qR2dNzqqA_47.619721_-122.337960, lat:47.619721, long:-122.33796, alt121, time(sec): 105.6937940120697
Item: 183, Location ID: YxF97OT0SRVUP8s0l1Lpvw_47.558465_-122.304993, lat:47.558465, long:-122.304993, alt190, time(sec): 95.63142108917236
Item: 184, Location ID: DG1b3eWz7-WxUKuXSHKCfQ_47.575555_-122.333911, lat:47.575555, long:-122.333911, alt106, time(sec): 80.6181013584137
Item: 185, Location ID: oZ7VjrZPe4QFMTLGqTbJWQ_47.605267_-122.294916, lat:47.605267, long:-122.294916, alt203, time(sec): 102.65610265731812
Item: 186, Location ID: vLwHzwyq_C_LnB2fkaJelA_47.562862_-122.291852, lat:47.562862, long:-122.291852, alt146, time(sec): 93.6322193145752
Item: 187, Location ID: pxg0wzvlkvPHVUA3NQ7gBg_47.592170_-122.293481, lat:47.59217, long:-122.293481, alt178, time(sec): 99.6240885257721
Item: 188, Location ID: iRyTzHyzSoCzIvSWZUl8lg_47.603253_-122.314258, lat:47.603253, long:-122.314258, alt168, time(sec): 84.71486949920654
Item: 189, Location ID: vqheElb79NF0SvoKY3AEHg_47.583574_-122.313393, lat:47.583574, long:-122.313393, alt187, time(sec): 107.65144634246826
Item: 190, Location ID: CydxY0WfcHSno5nk7ZHE-g_47.565863_-122.317819, lat:47.565863, long:-122.317819, alt168, time(sec): 98.49496912956238
Item: 191, Location ID: nIoGDtZ7YrXiuhi-ljbXFw_47.584000_-122.325315, lat:47.584, long:-122.325315, alt103, time(sec): 78.57550144195557
Item: 192, Location ID: 9UtoiXRFvPzb5WPnpWWGsw_47.595792_-122.293940, lat:47.595792, long:-122.29394, alt190, time(sec): 105.60408878326416
Item: 193, Location ID: jIxD1dSqNkYkyJKin2NOJQ_47.561788_-122.309343, lat:47.561788, long:-122.309343, alt201, time(sec): 101.70032620429993
Item: 194, Location ID: uLBd-2EciN75OlR_fbJsQw_47.564650_-122.331038, lat:47.56465, long:-122.331038, alt103, time(sec): 84.56119537353516
Item: 195, Location ID: d8mdPytg0y7LHJwx--XnAg_47.575622_-122.288802, lat:47.575622, long:-122.288802, alt128, time(sec): 97.60408806800842
Item: 196, Location ID: EtqNa6ZpyokzuIUiWHUf8g_47.600013_-122.307245, lat:47.600013, long:-122.307245, alt185, time(sec): 94.54892897605896
Item: 197, Location ID: DV13suiaDUF0hNmDOj7g2g_47.578462_-122.288999, lat:47.578462, long:-122.288999, alt144, time(sec): 104.5691430568695
Item: 198, Location ID: UUtgtOdMjN9FV2mnNzKyzg_47.589918_-122.299825, lat:47.589918, long:-122.299825, alt147, time(sec): 92.61892867088318
Item: 199, Location ID: 4bEAzyz8s6FE3OqftolYPw_47.604909_-122.334960, lat:47.604909, long:-122.33496, alt125, time(sec): 110.55874872207642
Item: 200, Location ID: q7tb8rdEamZ9lqL8C2ywSA_47.565137_-122.289603, lat:47.565137, long:-122.289603, alt128, time(sec): 93.79704761505127
Item: 201, Location ID: H3nOLSi_98094LN1eZTshg_47.590837_-122.292393, lat:47.590837, long:-122.292393, alt180, time(sec): 105.56568837165833
Item: 202, Location ID: peWQw02pEEMaPU1qnpwlZA_47.568416_-122.334352, lat:47.568416, long:-122.334352, alt103, time(sec): 85.63734006881714
Item: 203, Location ID: wDd8GxaQrsbnPEh-w0Wf1Q_47.616175_-122.302598, lat:47.616175, long:-122.302598, alt203, time(sec): 106.59099054336548
Item: 204, Location ID: CWO6qJI8yKYLD2qbqW8YOQ_47.559037_-122.291484, lat:47.559037, long:-122.291484, alt139, time(sec): 95.62248110771179
Item: 205, Location ID: AUmj32yepBLnF7aRfk2HxQ_47.592264_-122.326182, lat:47.592264, long:-122.326182, alt105, time(sec): 84.46997857093811
Item: 206, Location ID: L3icVo7aCtkhhzBqkcszrw_47.614393_-122.298805, lat:47.614393, long:-122.298805, alt182, time(sec): 89.54497861862183
Item: 207, Location ID: NM7aP7CTPstubKZhCdZhvQ_47.610191_-122.327418, lat:47.610191, long:-122.327418, alt193, time(sec): 123.64312410354614
Item: 208, Location ID: OOEt-7Wp2MTQvZJ2J4RJIg_47.561961_-122.293932, lat:47.561961, long:-122.293932, alt143, time(sec): 93.60006809234619
Item: 209, Location ID: pSeVNPdgebuw9cqaYzS83g_47.587729_-122.326028, lat:47.587729, long:-122.326028, alt109, time(sec): 80.62644290924072
Item: 210, Location ID: d4ZZL4u4hOuiaRewbOgatA_47.584818_-122.290348, lat:47.584818, long:-122.290348, alt164, time(sec): 104.60195279121399
Item: 211, Location ID: tFBFbEFfSAJSoCd3e2iIZA_47.606141_-122.318144, lat:47.606141, long:-122.318144, alt200, time(sec): 107.77850818634033
Item: 212, Location ID: KYzJdSWNw_J-oMqzA19syw_47.601742_-122.294399, lat:47.601742, long:-122.294399, alt204, time(sec): 108.70908999443054
Item: 213, Location ID: Q0FDQomomhDQIJMsoVCMHQ_47.617680_-122.295508, lat:47.61768, long:-122.295508, alt138, time(sec): 80.61094951629639
Item: 214, Location ID: 4gvS6wgEic385Vv3_ekGLA_47.605652_-122.288608, lat:47.605652, long:-122.288608, alt186, time(sec): 101.75801301002502
Item: 215, Location ID: acjp0UNJQ9xG2nFFoqGHcQ_47.578373_-122.306078, lat:47.578373, long:-122.306078, alt166, time(sec): 98.54219961166382
Item: 216, Location ID: -NmmHb9dtlbhLbyZkpUZ9g_47.616976_-122.335752, lat:47.616976, long:-122.335752, alt133, time(sec): 138.60222268104553
