ExpID: 1768604785
Start Location: 0
Location: Chicago_sat
Number of Location: 1000
StartTime: 2026-01-16 18:06:25.188049

Item: 0, Location ID: tp1iUiiP8sONUUy1Hrv0LQ_41.854085_-87.671646, lat:41.854085, long:-87.671646, alt2283, time(sec): 15.191091299057007
Item: 1, Location ID: 2VPXXgtHmKODGS-V_keOeA_41.867887_-87.627404, lat:41.867887, long:-87.627404, alt2289, time(sec): 16.10634160041809
Item: 2, Location ID: SrjRXSnhW6aljfpBJlwyAQ_41.866921_-87.657849, lat:41.866921, long:-87.657849, alt2284, time(sec): 15.224401473999023
Item: 3, Location ID: bymtcHjE0QNo3_cZSeg9wA_41.891688_-87.626573, lat:41.891688, long:-87.626573, alt2289, time(sec): 18.10130286216736
Item: 4, Location ID: F48Q4CWpnYrgmvw8wKcwvA_41.858590_-87.630323, lat:41.85859, long:-87.630323, alt2281, time(sec): 15.113176584243774
Item: 5, Location ID: D3lB5bNv_CKNFzIoR3qhHg_41.886746_-87.651828, lat:41.886746, long:-87.651828, alt2280, time(sec): 16.185097217559814
Item: 6, Location ID: jegyX8tyRk7eocFZKSEV8w_41.884276_-87.661981, lat:41.884276, long:-87.661981, alt2283, time(sec): 16.164540767669678
Item: 7, Location ID: sQFoqO1ij9vTd2W5u2kE0g_41.867047_-87.629449, lat:41.867047, long:-87.629449, alt2282, time(sec): 14.134171485900879
Item: 8, Location ID: 33JOO6l2F-ql7xxZp0nMMw_41.877676_-87.666595, lat:41.877676, long:-87.666595, alt2281, time(sec): 15.182000637054443
Item: 9, Location ID: u-feUGKTHi9EmvTxBFqkxg_41.880169_-87.630829, lat:41.880169, long:-87.630829, alt2365, time(sec): 19.123863458633423
Item: 10, Location ID: yNxYfrfmdzL8wEv7u31PoQ_41.856020_-87.648465, lat:41.85602, long:-87.648465, alt2283, time(sec): 16.162052154541016
Item: 11, Location ID: X2a_EeLuvcVWjSl2Tfcc9g_41.875224_-87.646455, lat:41.875224, long:-87.646455, alt2288, time(sec): 16.222562789916992
Item: 12, Location ID: 6Mzg1uk7_UzjcACkEEC_iw_41.878129_-87.631222, lat:41.878129, long:-87.631222, alt2363, time(sec): 15.193944692611694
Item: 13, Location ID: vJrqwUc3rwlGZf0NMD_V5w_41.881927_-87.667970, lat:41.881927, long:-87.66797, alt2284, time(sec): 14.135269403457642
Item: 14, Location ID: CsFJcnZ_ly_BSOiCNfVXbA_41.866746_-87.682497, lat:41.866746, long:-87.682497, alt2297, time(sec): 15.140345573425293
Item: 15, Location ID: gwP_nWwaNpDrSLsXj0BWag_41.868937_-87.675238, lat:41.868937, long:-87.675238, alt2280, time(sec): 15.13924765586853
Item: 16, Location ID: 98RCh7lLlBoQlQiFqaapJg_41.855337_-87.647080, lat:41.855337, long:-87.64708, alt2283, time(sec): 14.148043870925903
Item: 17, Location ID: nqQRCo8WSyzTV30uukh7fQ_41.872912_-87.623739, lat:41.872912, long:-87.623739, alt2296, time(sec): 15.140961408615112
Item: 18, Location ID: Ck_fym68m3SePh77t0_i5g_41.884515_-87.636987, lat:41.884515, long:-87.636987, alt2283, time(sec): 17.148427963256836
Item: 19, Location ID: zjpXDWzVgCyBNTmr2Wy5ww_41.875484_-87.661160, lat:41.875484, long:-87.66116, alt2277, time(sec): 15.150635004043579
Item: 20, Location ID: 8HBfBY-cANwYWMPDm4FBcg_41.894984_-87.622151, lat:41.894984, long:-87.622151, alt2293, time(sec): 16.153843641281128
Item: 21, Location ID: ptB7HY8JY04SubIu7FvDpA_41.865517_-87.644409, lat:41.865517, long:-87.644409, alt2280, time(sec): 15.146088123321533
Item: 22, Location ID: 6d5QzYdRhxr_aVexwVmGyA_41.891438_-87.625352, lat:41.891438, long:-87.625352, alt2307, time(sec): 15.13094162940979
Item: 23, Location ID: JJ9ibZrBsbRBV3bLpIdFjg_41.877767_-87.642533, lat:41.877767, long:-87.642533, alt2293, time(sec): 15.130274534225464
Item: 24, Location ID: f6SdylSt_SRWMnLaNAAMag_41.862480_-87.647364, lat:41.86248, long:-87.647364, alt2281, time(sec): 15.189337968826294
Item: 25, Location ID: vAE9QhIkv6gHvj2xLkjCsg_41.884329_-87.619538, lat:41.884329, long:-87.619538, alt2291, time(sec): 17.138749361038208
Item: 26, Location ID: uoXvW6t2N23rSpbV1ogkzg_41.875953_-87.647161, lat:41.875953, long:-87.647161, alt2274, time(sec): 14.192193269729614
Item: 27, Location ID: wPLNukBg0gLJqyzCSyxdRQ_41.892566_-87.657657, lat:41.892566, long:-87.657657, alt2286, time(sec): 16.14992094039917
Item: 28, Location ID: qE9bpxQp2Fomot9QV6MAHQ_41.865269_-87.683541, lat:41.865269, long:-87.683541, alt2282, time(sec): 14.157468795776367
Item: 29, Location ID: hWljS7NolGF6irltqKzeSA_41.865255_-87.685641, lat:41.865255, long:-87.685641, alt2279, time(sec): 13.258352518081665
Item: 30, Location ID: 7prDvoFtKvmG3QsdRF_vUQ_41.852161_-87.643919, lat:41.852161, long:-87.643919, alt2284, time(sec): 15.169426202774048
Item: 31, Location ID: Ympuc4-PyqrwfyLku2SfKQ_41.878128_-87.649609, lat:41.878128, long:-87.649609, alt2288, time(sec): 15.158552408218384
Item: 32, Location ID: v4sTudMJPHXLbdfnhd1rLQ_41.856701_-87.681790, lat:41.856701, long:-87.68179, alt2282, time(sec): 15.12291669845581
Item: 33, Location ID: U2df4a54hJuLMFyJIewb3A_41.858795_-87.661905, lat:41.858795, long:-87.661905, alt2285, time(sec): 15.16555643081665
Item: 34, Location ID: ZJqGGX8denxHjJOVrAS_Xg_41.869362_-87.622091, lat:41.869362, long:-87.622091, alt2279, time(sec): 15.196690082550049
Item: 35, Location ID: Rkb0GEtQtW9Ua9mIjtKLFA_41.855822_-87.677706, lat:41.855822, long:-87.677706, alt2283, time(sec): 14.152146816253662
Item: 36, Location ID: uHEvHBCU6kUZWE7ndmL_4g_41.858745_-87.664332, lat:41.858745, long:-87.664332, alt2285, time(sec): 14.14879298210144
Item: 37, Location ID: yY6fslaepkCIwAMOAgFxgw_41.893012_-87.669361, lat:41.893012, long:-87.669361, alt2286, time(sec): 16.154012441635132
Item: 38, Location ID: FlIWZNdjRlEQJZD5FlviuA_41.891522_-87.678788, lat:41.891522, long:-87.678788, alt2285, time(sec): 15.15777850151062
Item: 39, Location ID: kHBrKW7oamVqcIiZcoej_Q_41.885066_-87.690248, lat:41.885066, long:-87.690248, alt2285, time(sec): 15.117231130599976
Item: 40, Location ID: 7d0-AUFf7OAek85gHkcINg_41.871298_-87.640537, lat:41.871298, long:-87.640537, alt2293, time(sec): 15.156605243682861
