ExpID: 1765701532
Start Location: 220
Location: NewYork
Number of Location: 500
StartTime: 2025-12-14 03:38:52.858940

Item: 220, Location ID: lXUFSpnUymZWLbUpROvHmA_40.716856_-74.013144, lat:40.716856, long:-74.013144, alt100, time(sec): 104.44098448753357
Item: 221, Location ID: SiSMz-iFD3IqLSLTHApWxg_40.777644_-73.961222, lat:40.777644, long:-73.961222, alt139, time(sec): 119.21246314048767
Item: 222, Location ID: -ucB5k7ctF0ClET4MNv8oA_40.768142_-73.984068, lat:40.768142, long:-73.984068, alt143, time(sec): 123.20044541358948
Item: 223, Location ID: _05CSNEM_ZqO-td9M0Fj2g_40.727898_-73.996927, lat:40.727898, long:-73.996927, alt126, time(sec): 114.22668600082397
Item: 224, Location ID: d9Z1NAz9eVZLHORjnTz1Jg_40.750125_-74.004028, lat:40.750125, long:-74.004028, alt111, time(sec): 112.21818518638611
Item: 225, Location ID: 8r61Cy3_3H6Wtb3xqjDocg_40.712658_-74.016440, lat:40.712658, long:-74.01644, alt106, time(sec): 100.21797823905945
Item: 226, Location ID: qwMg7Ir3ixzGILZ8U54SIg_40.767168_-73.978388, lat:40.767168, long:-73.978388, alt125, time(sec): 115.21130633354187
Item: 227, Location ID: UgHCoFyHieO6-7jj2JKfeQ_40.721502_-74.003397, lat:40.721502, long:-74.003397, alt108, time(sec): 112.21264338493347
Item: 228, Location ID: 1Q1In_foclO3MPvPf_DUUA_40.729995_-73.977715, lat:40.729995, long:-73.977715, alt108, time(sec): 108.21214985847473
Item: 229, Location ID: DUgOztq7iVTUfXayA6mkzg_40.735621_-73.986749, lat:40.735621, long:-73.986749, alt125, time(sec): 118.20395064353943
Item: 230, Location ID: E5O_ICTnNdg4AeDijcJ5pA_40.712923_-74.014204, lat:40.712923, long:-74.014204, alt107, time(sec): 110.21331644058228
Item: 231, Location ID: dnxgWgx7yo2XJisEy93BuQ_40.771925_-73.951765, lat:40.771925, long:-73.951765, alt129, time(sec): 112.2071464061737
Item: 232, Location ID: uPwkCcz17GsSp_e_bIEDbQ_40.757696_-73.988783, lat:40.757696, long:-73.988783, alt122, time(sec): 131.17468810081482
Item: 233, Location ID: -GLYgR4hK_PZVOEIYJVv4w_40.758879_-73.972137, lat:40.758879, long:-73.972137, alt114, time(sec): 136.19245147705078
Item: 234, Location ID: l7I7mZH93QyPhJ4kDf8wqA_40.704925_-74.011562, lat:40.704925, long:-74.011562, alt110, time(sec): 127.2074294090271
Item: 235, Location ID: Ub9ayOkePrxiqeuCjdNMmQ_40.743530_-73.998283, lat:40.74353, long:-73.998283, alt115, time(sec): 117.22194314002991
Item: 236, Location ID: U09EE-BrHX3ExtIItztlPA_40.753374_-73.980600, lat:40.753374, long:-73.9806, alt122, time(sec): 137.1972210407257
Item: 237, Location ID: t7jMAO5VJ9XXd-qiQmM6Fg_40.774795_-73.986344, lat:40.774795, long:-73.986344, alt113, time(sec): 111.22142624855042
Item: 238, Location ID: AUUmW6792yOlMtL-fKek0Q_40.749223_-73.990406, lat:40.749223, long:-73.990406, alt114, time(sec): 133.16942620277405
Item: 239, Location ID: ndJUE4SFw8bZasuIzDsF6Q_40.758524_-73.986880, lat:40.758524, long:-73.98688, alt116, time(sec): 135.20979690551758
Item: 240, Location ID: TNsZG01qcI_BE4GOkO9eAg_40.738263_-73.983585, lat:40.738263, long:-73.983585, alt128, time(sec): 121.19381332397461
Item: 241, Location ID: hLI_LbAKMmQQ1moiiX9YXQ_40.720358_-73.977495, lat:40.720358, long:-73.977495, alt110, time(sec): 101.21286749839783
Item: 242, Location ID: 5wi2c5UKHlHaAvJKioiGAA_40.782597_-73.960596, lat:40.782597, long:-73.960596, alt133, time(sec): 109.21224069595337
Item: 243, Location ID: fnvYM7F9SBYVu01mx0Qocg_40.781874_-73.968618, lat:40.781874, long:-73.968618, alt136, time(sec): 104.23426508903503
Item: 244, Location ID: OcPx3AlM2qfu435ct9_9xA_40.740353_-73.984695, lat:40.740353, long:-73.984695, alt130, time(sec): 125.19684195518494
Item: 245, Location ID: FVQwGBS3ranekT9iMJagIA_40.771627_-73.959235, lat:40.771627, long:-73.959235, alt136, time(sec): 119.21755599975586
Item: 246, Location ID: 0ujkGBEGkSJ19vZ6yh9bXw_40.779321_-73.951114, lat:40.779321, long:-73.951114, alt128, time(sec): 113.23093247413635
Item: 247, Location ID: GWJhnPqclsi9Rdzqe9F0aQ_40.739558_-73.988863, lat:40.739558, long:-73.988863, alt141, time(sec): 130.2061367034912
Item: 248, Location ID: J1jq0hr7Ir5_OA94iR51DA_40.717413_-73.979759, lat:40.717413, long:-73.979759, alt111, time(sec): 103.23125720024109
Item: 249, Location ID: XSRm52-dkPqjjt1pSSkWXw_40.721146_-73.997540, lat:40.721146, long:-73.99754, alt121, time(sec): 110.21439361572266
Item: 250, Location ID: KN6I0dQKxPAbkiwVPbQlOA_40.739447_-73.994066, lat:40.739447, long:-73.994066, alt127, time(sec): 127.20583653450012
Item: 251, Location ID: WteQjWSrfDbDMc2VgKXwBQ_40.761509_-73.960589, lat:40.761509, long:-73.960589, alt129, time(sec): 142.2203187942505
Item: 252, Location ID: OKvrwvBFEXUgkG9xM9wHTA_40.755652_-73.990019, lat:40.755652, long:-73.990019, alt132, time(sec): 330.19509959220886
Item: 253, Location ID: Jl8ScE-3h1NIKAygZHIx1Q_40.780162_-73.984224, lat:40.780162, long:-73.984224, alt144, time(sec): 343.21118545532227
Item: 254, Location ID: vnI8WswU8xa9c6oF-aM6Eg_40.757123_-73.985496, lat:40.757123, long:-73.985496, alt118, time(sec): 656.2172873020172
Item: 255, Location ID: eLz6BiBsD5SPfVC_Kbcufw_40.778607_-73.951240, lat:40.778607, long:-73.95124, alt128, time(sec): 608.2389454841614
Item: 256, Location ID: c_NJ374AEt9vYYEuLNAk1Q_40.768264_-73.992906, lat:40.768264, long:-73.992906, alt113, time(sec): 621.234176158905
Item: 257, Location ID: lMdMic8hDS6vMB59FgGJuQ_40.724705_-74.007006, lat:40.724705, long:-74.007006, alt116, time(sec): 768.2665045261383
Item: 258, Location ID: j359VUUU2FD5dyZOC8WzLA_40.727250_-73.999664, lat:40.72725, long:-73.999664, alt114, time(sec): 174.17814803123474
Item: 259, Location ID: bIlBBykpqna_QbrsXbKRcA_40.774132_-73.951383, lat:40.774132, long:-73.951383, alt125, time(sec): 199.2324743270874
Item: 260, Location ID: g8t5uk3AHel67E8l-4K8hw_40.761321_-73.983097, lat:40.761321, long:-73.983097, alt119, time(sec): 499.20248079299927
Item: 261, Location ID: CEvNFMVnEOtNfJV9fY9Z9Q_40.723482_-73.985422, lat:40.723482, long:-73.985422, alt112, time(sec): 495.2163338661194
Item: 262, Location ID: QWu3P0cy1cUo54rSF-oiaQ_40.715135_-73.992674, lat:40.715135, long:-73.992674, alt118, time(sec): 618.2393171787262
Item: 263, Location ID: BJexF9bEQMn0p02nIjIhJA_40.736436_-73.998764, lat:40.736436, long:-73.998764, alt119, time(sec): 828.2733426094055
Item: 264, Location ID: Y05WVAQF66pWIefzyfajqQ_40.766920_-73.985422, lat:40.76692, long:-73.985422, alt125, time(sec): 888.2749705314636
Item: 265, Location ID: _dPdop7c1xPZ6UaqMA9VBQ_40.761398_-73.978157, lat:40.761398, long:-73.978157, alt121, time(sec): 171.18590331077576
