ExpID: 1768790259
Start Location: 0
Location: Seattle_sat
Number of Location: 3000
StartTime: 2026-01-18 21:37:39.755063

Item: 0, Location ID: OQvGr9IfisDKXiW8q9or_g_47.606905_-122.330092, lat:47.606905, long:-122.330092, alt2199, time(sec): 27.152626037597656
Item: 1, Location ID: MEzuwBUqqMuqsKAhbY8EKQ_47.560993_-122.291026, lat:47.560993, long:-122.291026, alt2147, time(sec): 20.17262840270996
Item: 2, Location ID: 6Rnv2Wv5kTWLDaCWGeXQPw_47.611818_-122.312794, lat:47.611818, long:-122.312794, alt2207, time(sec): 25.126588821411133
Item: 3, Location ID: Vfr2ACtvbfm_kqcAtUaWUQ_47.560152_-122.293168, lat:47.560152, long:-122.293168, alt2139, time(sec): 19.118375539779663
Item: 4, Location ID: 84TzP0XMIPDXV_sKbtpytw_47.572199_-122.314078, lat:47.572199, long:-122.314078, alt2166, time(sec): 24.226929187774658
Item: 5, Location ID: MiOVKsIhIx69ED5XbDRWXg_47.613695_-122.329685, lat:47.613695, long:-122.329685, alt2167, time(sec): 28.13790273666382
Item: 6, Location ID: 7YDgEjDMPo35Eq-324igWQ_47.593327_-122.302276, lat:47.593327, long:-122.302276, alt2161, time(sec): 23.16603970527649
Item: 7, Location ID: wIA7GD66bG8qAHnnLagn3A_47.564127_-122.322566, lat:47.564127, long:-122.322566, alt2106, time(sec): 25.14657998085022
Item: 8, Location ID: hyvCwH0F_lr8yyZiwQsOLQ_47.620217_-122.333643, lat:47.620217, long:-122.333643, alt2140, time(sec): 30.197826623916626
Item: 9, Location ID: IWrL7nd4sEY5pUNE0Iy5DQ_47.618768_-122.315580, lat:47.618768, long:-122.31558, alt2218, time(sec): 23.174789905548096
Item: 10, Location ID: zHr1XVRyBLLaCx_W_h9b7g_47.611650_-122.296197, lat:47.61165, long:-122.296197, alt2175, time(sec): 25.11768627166748
Item: 11, Location ID: rqCLjGSpKrnFRnYgiO-ucA_47.613605_-122.336927, lat:47.613605, long:-122.336927, alt2197, time(sec): 21.187848567962646
Item: 12, Location ID: 9FOdExo4y7T-74R63m3CJQ_47.570050_-122.299191, lat:47.57005, long:-122.299191, alt2178, time(sec): 22.115952730178833
Item: 13, Location ID: MzvPxd8P6eYjnqxoF1d6Uw_47.570133_-122.326176, lat:47.570133, long:-122.326176, alt2108, time(sec): 21.18097496032715
Item: 14, Location ID: qkOUBy3RXsnwVWJz5WPfIg_47.616447_-122.309107, lat:47.616447, long:-122.309107, alt2232, time(sec): 18.17767834663391
Item: 15, Location ID: BTUg4d2jBkdwgHWoomHp6g_47.596933_-122.317285, lat:47.596933, long:-122.317285, alt2149, time(sec): 19.160643815994263
Item: 16, Location ID: RS9uHXnkoV0D5yfC44AM3Q_47.611407_-122.291477, lat:47.611407, long:-122.291477, alt2206, time(sec): 19.105026483535767
Item: 17, Location ID: dZHH-zM0Ub2Z4uR9I6Ajzw_47.576407_-122.297998, lat:47.576407, long:-122.297998, alt2112, time(sec): 23.133820295333862
Item: 18, Location ID: p4x4uhgyjeSZJpahT4wSAQ_47.566103_-122.322251, lat:47.566103, long:-122.322251, alt2108, time(sec): 18.13660979270935
Item: 19, Location ID: RT7OkDFJqdr7JAEXZnl_bA_47.590651_-122.295825, lat:47.590651, long:-122.295825, alt2148, time(sec): 23.124686241149902
Item: 20, Location ID: 5VEe5QGnBH-72W4zgGky0A_47.587839_-122.315999, lat:47.587839, long:-122.315999, alt2198, time(sec): 22.128857612609863
Item: 21, Location ID: YjTbIbiQEkG7UbjV0UsRBw_47.573220_-122.318608, lat:47.57322, long:-122.318608, alt2131, time(sec): 21.123756647109985
Item: 22, Location ID: 7P2sTGlZpn_snqeRPERd1w_47.609251_-122.291475, lat:47.609251, long:-122.291475, alt2205, time(sec): 18.115128755569458
Item: 23, Location ID: 47Nql5J-pv9V0WyCOmWzAw_47.619279_-122.330437, lat:47.619279, long:-122.330437, alt2142, time(sec): 23.16391348838806
Item: 24, Location ID: kjEByVlwf7kkBa7w8KBjsQ_47.614165_-122.307467, lat:47.614165, long:-122.307467, alt2216, time(sec): 22.19851565361023
Item: 25, Location ID: Yk0iPWSiiBSFg9op4TwiIw_47.598785_-122.321542, lat:47.598785, long:-122.321542, alt2141, time(sec): 21.144182443618774
Item: 26, Location ID: XXjvjOWW1SdIfKB1qKUeEA_47.603918_-122.314241, lat:47.603918, long:-122.314241, alt2174, time(sec): 24.17463970184326
Item: 27, Location ID: 4stJjuE_fuaKfccHbQl-mA_47.562704_-122.293241, lat:47.562704, long:-122.293241, alt2141, time(sec): 22.129706144332886
Item: 28, Location ID: oitLQIdgpB9QP6VUaxzatw_47.578491_-122.316683, lat:47.578491, long:-122.316683, alt2170, time(sec): 21.12466287612915
Item: 29, Location ID: P4ZUD-zheCN1Y-6ul7oDsA_47.612853_-122.314669, lat:47.612853, long:-122.314669, alt2203, time(sec): 20.141274452209473
Item: 30, Location ID: 7rDbrNVb2TqrCHBrhLHM9A_47.590821_-122.307758, lat:47.590821, long:-122.307758, alt2127, time(sec): 23.14188027381897
Item: 31, Location ID: Ic4jBIfUr_pVxedjI6uNuw_47.599880_-122.323752, lat:47.59988, long:-122.323752, alt2143, time(sec): 19.135647773742676
Item: 32, Location ID: xKRpfF7rd1i1eicgxjrfkw_47.562155_-122.314231, lat:47.562155, long:-122.314231, alt2177, time(sec): 24.193546295166016
Item: 33, Location ID: ImfwgX0gJx_ypyXLiLGpew_47.596895_-122.298767, lat:47.596895, long:-122.298767, alt2177, time(sec): 22.126195192337036
Item: 34, Location ID: qmysSUzSeyyMOMguyBe6wQ_47.582376_-122.302950, lat:47.582376, long:-122.30295, alt2126, time(sec): 22.22875690460205
Item: 35, Location ID: IO_zwmRhyM7mbhxtY7fEnQ_47.604388_-122.302505, lat:47.604388, long:-122.302505, alt2197, time(sec): 23.169170141220093
Item: 36, Location ID: hVxRQBG9CSL9aPl4DGOqCA_47.573524_-122.292990, lat:47.573524, long:-122.29299, alt2115, time(sec): 23.173858404159546
Item: 37, Location ID: Cvue3sEXB2XZhhYmvzTo7g_47.620835_-122.326259, lat:47.620835, long:-122.326259, alt2180, time(sec): 22.17709732055664
Item: 38, Location ID: UtJ9TzcWirRVPS8uNS0Otw_47.583388_-122.288976, lat:47.583388, long:-122.288976, alt2136, time(sec): 23.134620666503906
Item: 39, Location ID: 80P1Im7RNuhtJ_lZiSLjfg_47.598901_-122.290737, lat:47.598901, long:-122.290737, alt2148, time(sec): 21.126702070236206
Item: 40, Location ID: BwKAG0uIbUW4PYozUHURfA_47.587452_-122.296583, lat:47.587452, long:-122.296583, alt2154, time(sec): 18.140678644180298
Item: 41, Location ID: RpQmzB6M7dKYnwSQAqZJBQ_47.563806_-122.316692, lat:47.563806, long:-122.316692, alt2175, time(sec): 19.130507946014404
Item: 42, Location ID: NSDHaEOzYLgD9S2btAVsiA_47.620205_-122.322220, lat:47.620205, long:-122.32222, alt2203, time(sec): 18.159353256225586
Item: 43, Location ID: RoQCp-J1fYa2iSAuB-W_hQ_47.581226_-122.330257, lat:47.581226, long:-122.330257, alt2108, time(sec): 23.17567253112793
Item: 44, Location ID: Z_9Kixcw0mcigFhIWWLzYQ_47.581802_-122.301686, lat:47.581802, long:-122.301686, alt2122, time(sec): 17.144992351531982
Item: 45, Location ID: N-k_F4zJuy8CRVn7kJLsWA_47.594193_-122.319962, lat:47.594193, long:-122.319962, alt2130, time(sec): 21.159957885742188
Item: 46, Location ID: qTowDXiHac3y3Lj3ZxG6jQ_47.613988_-122.304924, lat:47.613988, long:-122.304924, alt2206, time(sec): 22.145721673965454
Item: 47, Location ID: zQ82Qw1GkJXQQ_uFJgo9hg_47.579462_-122.311002, lat:47.579462, long:-122.311002, alt2188, time(sec): 18.149855852127075
Item: 48, Location ID: UoKSpFxt6sBlXUSlxZqtFQ_47.619608_-122.326514, lat:47.619608, long:-122.326514, alt2178, time(sec): 18.19587278366089
Item: 49, Location ID: HHU35VGHMd1AdrXg8rqlMg_47.583641_-122.299850, lat:47.583641, long:-122.29985, alt2124, time(sec): 17.11108684539795
Item: 50, Location ID: kgfJVrBRrjkr-i0iLjX8YQ_47.590243_-122.328831, lat:47.590243, long:-122.328831, alt2105, time(sec): 25.169357299804688
Item: 51, Location ID: -rOeEJOo-WZg90OJ2EFsOQ_47.569243_-122.321296, lat:47.569243, long:-122.321296, alt2102, time(sec): 20.256152391433716
Item: 52, Location ID: T7O4dIJu3NVBsfkpLfSziw_47.568418_-122.325420, lat:47.568418, long:-122.32542, alt2105, time(sec): 17.143304586410522
Item: 53, Location ID: 4Quy67uqQFSdnKCOmELJKQ_47.587649_-122.312055, lat:47.587649, long:-122.312055, alt2174, time(sec): 20.11209487915039
Item: 54, Location ID: 7aFkFVk1T-w3ziSv5nnvNQ_47.616472_-122.299063, lat:47.616472, long:-122.299063, alt2177, time(sec): 22.139859914779663
Item: 55, Location ID: IwVCVok7zbvBVmA0-4PMTg_47.603516_-122.316354, lat:47.603516, long:-122.316354, alt2170, time(sec): 21.13795757293701
Item: 56, Location ID: tyvFUIRQB7LWdo7qP8fSYA_47.619986_-122.289094, lat:47.619986, long:-122.289094, alt2183, time(sec): 19.176016330718994
Item: 57, Location ID: ykIn6iGDedqPXS22w87yVw_47.617992_-122.315607, lat:47.617992, long:-122.315607, alt2211, time(sec): 21.16289234161377
Item: 58, Location ID: ev4N08NdqHtcg6EVGPzVFw_47.617451_-122.316261, lat:47.617451, long:-122.316261, alt2209, time(sec): 14.188717603683472
Item: 59, Location ID: d32aTThdaL8OzxBX4yBR2Q_47.576255_-122.292187, lat:47.576255, long:-122.292187, alt2132, time(sec): 21.230638027191162
Item: 60, Location ID: IM3vlgbJ6p-IAzsRbAOtEw_47.608027_-122.298874, lat:47.608027, long:-122.298874, alt2186, time(sec): 20.149547576904297
