ExpID: 1764993367
Start Location: 1320
Number of Location: 500
StartTime: 2025-12-05 22:56:07.176565

Item: 1320, Location ID: jlXA_Mzyx3TXRNV6-ZH32g_47.607664_-122.335111, lat:47.607664, long:-122.335111, alt146, time(sec): 104.55056238174438
Item: 1321, Location ID: DTr5WmEUR4z-zfHPilWTuA_47.563967_-122.317339, lat:47.563967, long:-122.317339, alt172, time(sec): 149.5512421131134
Item: 1322, Location ID: 0Y_0sbinxgQjtTy4Yg1HBg_47.584003_-122.300335, lat:47.584003, long:-122.300335, alt123, time(sec): 165.587087392807
Item: 1323, Location ID: qVEY8DMWeJmniCliKaA1GQ_47.590560_-122.334114, lat:47.59056, long:-122.334114, alt109, time(sec): 252.51753878593445
Item: 1324, Location ID: PPwms3UWk2vfBDmncAcLVw_47.561542_-122.288840, lat:47.561542, long:-122.28884, alt126, time(sec): 269.60070991516113
Item: 1325, Location ID: V6nNQCFRHO9U7_3bmPh_dg_47.612128_-122.320857, lat:47.612128, long:-122.320857, alt199, time(sec): 483.5041289329529
Item: 1326, Location ID: nG5X85VdRNveaTknCzRF1g_47.595926_-122.305148, lat:47.595926, long:-122.305148, alt173, time(sec): 455.5865361690521
Item: 1327, Location ID: ivaN6gCe7kNpFx0aHP6QnA_47.616159_-122.310163, lat:47.616159, long:-122.310163, alt234, time(sec): 600.5499289035797
Item: 1328, Location ID: VQRYA0YNnjv5-VplnbovXw_47.600289_-122.332239, lat:47.600289, long:-122.332239, alt110, time(sec): 659.6396334171295
Item: 1329, Location ID: iDg16lfk3Xef17XN3ykMZw_47.598338_-122.310191, lat:47.598338, long:-122.310191, alt168, time(sec): 455.7015337944031
Item: 1330, Location ID: iMVdZMp3RI6PO6dqeV2-9A_47.559087_-122.290409, lat:47.559087, long:-122.290409, alt139, time(sec): 70.6235339641571
Item: 1331, Location ID: FTeS2IoYDt7jHQQ6ni1vzQ_47.608011_-122.318009, lat:47.608011, long:-122.318009, alt189, time(sec): 77.66159725189209
Item: 1332, Location ID: F4AwAI5Xs69Nw6FeCzNFmg_47.581138_-122.288883, lat:47.581138, long:-122.288883, alt134, time(sec): 74.59690570831299
Item: 1333, Location ID: f06Wcgjbf3cSAPGZH3RIDA_47.587339_-122.315999, lat:47.587339, long:-122.315999, alt199, time(sec): 91.6508481502533
Item: 1334, Location ID: YS2JZ9Ihl18PJIjvFO9Qqg_47.608968_-122.292625, lat:47.608968, long:-122.292625, alt203, time(sec): 86.59920239448547
Item: 1335, Location ID: srdlU5tx6SMaOweQ7I3yKA_47.560421_-122.313433, lat:47.560421, long:-122.313433, alt176, time(sec): 75.61458134651184
Item: 1336, Location ID: 7fpyx2X3Mb7fshRnF-KtOA_47.560396_-122.299860, lat:47.560396, long:-122.29986, alt181, time(sec): 79.6471803188324
Item: 1337, Location ID: 3GDgbp1NNx8q__cSjLsxOQ_47.610669_-122.312169, lat:47.610669, long:-122.312169, alt210, time(sec): 78.65017509460449
Item: 1338, Location ID: M3OIBHAZdeXEI9-X8fQYlg_47.583109_-122.327613, lat:47.583109, long:-122.327613, alt104, time(sec): 66.5218915939331
Item: 1339, Location ID: ePNBLX8ZthnWh8XIhaVuKg_47.598792_-122.292679, lat:47.598792, long:-122.292679, alt200, time(sec): 81.56377148628235
Item: 1340, Location ID: 5Vp_TjHrNp_ihlj-7m_z2A_47.570465_-122.308885, lat:47.570465, long:-122.308885, alt196, time(sec): 79.6491949558258
Item: 1341, Location ID: 2JVfwvAr47Ht2hU9VweSGQ_47.564721_-122.332031, lat:47.564721, long:-122.332031, alt102, time(sec): 65.84395456314087
Item: 1342, Location ID: x_fXf6wQf1z5eRujNextkw_47.583670_-122.308710, lat:47.58367, long:-122.30871, alt156, time(sec): 70.66520404815674
Item: 1343, Location ID: Y_zCXbNN1p7ETRP3aZ443A_47.601090_-122.323545, lat:47.60109, long:-122.323545, alt157, time(sec): 76.6468563079834
Item: 1344, Location ID: zMWYspWel5cXhE80mYuXzg_47.619396_-122.318241, lat:47.619396, long:-122.318241, alt205, time(sec): 74.75436663627625
Item: 1345, Location ID: Mc_1hwi3_xZOyq8eyy6L8g_47.610826_-122.298862, lat:47.610826, long:-122.298862, alt184, time(sec): 71.48516488075256
Item: 1346, Location ID: L0177NB2lYj6FgGLk2ipSw_47.621352_-122.294020, lat:47.621352, long:-122.29402, alt136, time(sec): 67.6802020072937
Item: 1347, Location ID: 2N82zwREuILZX71uxm6WEQ_47.579672_-122.304358, lat:47.579672, long:-122.304358, alt160, time(sec): 70.72707343101501
Item: 1348, Location ID: UPvA-YkzJJIwPqMjChlk8w_47.564828_-122.292728, lat:47.564828, long:-122.292728, alt147, time(sec): 74.63914489746094
Item: 1349, Location ID: YzVHi-B4vqiWqEl1dgw8HA_47.568559_-122.297301, lat:47.568559, long:-122.297301, alt136, time(sec): 68.63551878929138
Item: 1350, Location ID: M04OzGFn-KCWmYR7KouRTg_47.616827_-122.328807, lat:47.616827, long:-122.328807, alt162, time(sec): 85.55083203315735
Item: 1351, Location ID: XKdmtXUjX-ytRGNgA6PBwA_47.614046_-122.288869, lat:47.614046, long:-122.288869, alt201, time(sec): 83.52050924301147
Item: 1352, Location ID: Me3APZxuI7jaKOOpTKgXuw_47.578324_-122.295840, lat:47.578324, long:-122.29584, alt119, time(sec): 67.75255417823792
Item: 1353, Location ID: ogvE_G3q_yaRxGzHevuASw_47.621148_-122.313935, lat:47.621148, long:-122.313935, alt230, time(sec): 79.86595296859741
Item: 1354, Location ID: LfTMqBdOCFWk-PeAaQILLw_47.605782_-122.305712, lat:47.605782, long:-122.305712, alt188, time(sec): 73.64072871208191
Item: 1355, Location ID: RKsDTgXM_HZjmYsDMJLoqQ_47.591564_-122.317913, lat:47.591564, long:-122.317913, alt189, time(sec): 82.61060786247253
