ExpID: 1764707935
Start Location: 517
Number of Location: 300
StartTime: 2025-12-02 15:38:55.527107

Item: 517, Location ID: wEfFMCqeHdi7sIKN7scUMQ_47.560688_-122.301974, lat:47.560688, long:-122.301974, alt218, time(sec): 86.63250970840454
Item: 518, Location ID: xNN3SkGQQHz3bJbpe8eTzA_47.586463_-122.328409, lat:47.586463, long:-122.328409, alt105, time(sec): 68.66429376602173
Item: 519, Location ID: pD5Zk6-DVPa6KkhEl-FY8w_47.620226_-122.318915, lat:47.620226, long:-122.318915, alt203, time(sec): 42.60645127296448
Item: 520, Location ID: j5fMEYvAmoeR7IahoGT0Fg_47.588248_-122.317316, lat:47.588248, long:-122.317316, alt187, time(sec): 86.74110078811646
Item: 521, Location ID: JQr9P_nV5HWfYxaUjMntxg_47.593526_-122.301154, lat:47.593526, long:-122.301154, alt169, time(sec): 76.57236742973328
Item: 522, Location ID: Se9UC2-YjKGNWqM7Ub9NRg_47.559012_-122.304501, lat:47.559012, long:-122.304501, alt191, time(sec): 79.7655975818634
Item: 523, Location ID: BMy68xVpAtwX7N6uiaUsSQ_47.616933_-122.319775, lat:47.616933, long:-122.319775, alt200, time(sec): 78.7138135433197
Item: 524, Location ID: gHwj8XFCX3IWksLtvzGi8A_47.574074_-122.314138, lat:47.574074, long:-122.314138, alt179, time(sec): 82.90827798843384
Item: 525, Location ID: nJt8xPNOJIG0DXBOUNze5w_47.566630_-122.333313, lat:47.56663, long:-122.333313, alt103, time(sec): 70.80077528953552
Item: 526, Location ID: mNH1ciGDyZipWMMJz_7xZg_47.562114_-122.295443, lat:47.562114, long:-122.295443, alt147, time(sec): 79.67673325538635
Item: 527, Location ID: qgDR0weiXQLRn9YluNoWrw_47.577543_-122.289829, lat:47.577543, long:-122.289829, alt137, time(sec): 84.63537979125977
Item: 528, Location ID: 5nqIvRJ7_MFrBYOOw4mEjQ_47.610935_-122.310854, lat:47.610935, long:-122.310854, alt218, time(sec): 82.65060949325562
Item: 529, Location ID: NC5kW4gOJjcYIOtbXtzwQg_47.610295_-122.336768, lat:47.610295, long:-122.336768, alt151, time(sec): 96.54336643218994
Item: 530, Location ID: vtH6Hy4dBAQLRaXHJDMgGQ_47.590202_-122.326030, lat:47.590202, long:-122.32603, alt102, time(sec): 69.55749440193176
Item: 531, Location ID: 7B8wraW1leDn_LBV9pAGkw_47.612966_-122.300668, lat:47.612966, long:-122.300668, alt195, time(sec): 46.65599489212036
Item: 532, Location ID: o1vhrlWzyqd18fErOKwU3A_47.581917_-122.324930, lat:47.581917, long:-122.32493, alt106, time(sec): 66.5192129611969
Item: 533, Location ID: Rsm8meyb4nrlhzJjf_uQaA_47.598664_-122.317824, lat:47.598664, long:-122.317824, alt151, time(sec): 73.55061459541321
Item: 534, Location ID: Bm_HIT6JgRIR7-oNqIKqPQ_47.594990_-122.325395, lat:47.59499, long:-122.325395, alt115, time(sec): 71.6862244606018
Item: 535, Location ID: OX5NFIPCyrNUHHrFDO6qbQ_47.586921_-122.299187, lat:47.586921, long:-122.299187, alt132, time(sec): 71.81404042243958
Item: 536, Location ID: xeh6DdB9pROjkBNbR6zA0w_47.617904_-122.309507, lat:47.617904, long:-122.309507, alt231, time(sec): 47.60120916366577
Item: 537, Location ID: I8EpeaaJGKdh7WQoCgqgiA_47.608935_-122.312863, lat:47.608935, long:-122.312863, alt200, time(sec): 75.55039143562317
Item: 538, Location ID: hNpWU-af2f1JZwT48qvf3Q_47.568396_-122.332043, lat:47.568396, long:-122.332043, alt104, time(sec): 69.51055788993835
Item: 539, Location ID: DRut3X5PRLLWESGWpDZ-Pw_47.609105_-122.335638, lat:47.609105, long:-122.335638, alt161, time(sec): 99.57825136184692
